"dataset","subtype","patient_id","celltype","cell_count","total_cells","percentage"
"GSE176078_Tumor","HER2_Positive","CID4066","Cancer Epithelial",479,5232,9.15519877675841
"GSE176078_Tumor","HER2_Positive","CID4066","Endothelial",528,5232,10.0917431192661
"GSE176078_Tumor","HER2_Positive","CID4066","Myeloid",218,5232,4.16666666666667
"GSE176078_Tumor","HER2_Positive","CID4066","Normal Epithelial",261,5232,4.98853211009174
"GSE176078_Tumor","HER2_Positive","CID4066","PVL",626,5232,11.9648318042813
"GSE176078_Tumor","HER2_Positive","CID4066","T-cells",2164,5232,41.3608562691131
"GSE176078_Tumor","HER2_Positive","CID45171","B-cells",56,2305,2.4295010845987
"GSE176078_Tumor","HER2_Positive","CID45171","CAFs",32,2305,1.3882863340564
"GSE176078_Tumor","HER2_Positive","CID45171","Cancer Epithelial",674,2305,29.2407809110629
"GSE176078_Tumor","HER2_Positive","CID45171","Endothelial",15,2305,0.650759219088937
"GSE176078_Tumor","HER2_Positive","CID45171","Myeloid",172,2305,7.46203904555315
"GSE176078_Tumor","HER2_Positive","CID45171","PVL",13,2305,0.563991323210412
"GSE176078_Tumor","HER2_Positive","CID45171","T-cells",1343,2305,58.2646420824295
"GSE176078_Tumor","TNBC","CID3946","CAFs",134,492,27.2357723577236
"GSE176078_Tumor","TNBC","CID3946","Endothelial",54,492,10.9756097560976
"GSE176078_Tumor","TNBC","CID3946","Myeloid",94,492,19.1056910569106
"GSE176078_Tumor","TNBC","CID3946","PVL",161,492,32.7235772357724
"GSE176078_Tumor","TNBC","CID3946","T-cells",49,492,9.95934959349593
"GSE176078_Tumor","TNBC","CID3963","CAFs",19,3437,0.552807681117253
"GSE176078_Tumor","TNBC","CID3963","Cancer Epithelial",171,3437,4.97526913005528
"GSE176078_Tumor","TNBC","CID3963","Endothelial",98,3437,2.85132382892057
"GSE176078_Tumor","TNBC","CID3963","Myeloid",457,3437,13.2964794879255
"GSE176078_Tumor","TNBC","CID3963","Normal Epithelial",1,3437,0.0290951411114344
"GSE176078_Tumor","TNBC","CID3963","PVL",28,3437,0.814663951120163
"GSE176078_Tumor","TNBC","CID3963","T-cells",2663,3437,77.4803607797498
"GSE176078_Tumor","TNBC","CID44041","B-cells",176,2124,8.28625235404897
"GSE176078_Tumor","TNBC","CID44041","CAFs",681,2124,32.0621468926554
"GSE176078_Tumor","TNBC","CID44041","Endothelial",144,2124,6.77966101694915
"GSE176078_Tumor","TNBC","CID44041","Myeloid",105,2124,4.94350282485876
"GSE176078_Tumor","TNBC","CID44041","Normal Epithelial",149,2124,7.015065913371
"GSE176078_Tumor","TNBC","CID44041","PVL",127,2124,5.97928436911488
"GSE176078_Tumor","TNBC","CID44041","T-cells",742,2124,34.9340866290019
"GSE176078_Tumor","TNBC","CID4465","B-cells",22,957,2.29885057471264
"GSE176078_Tumor","TNBC","CID4465","CAFs",239,957,24.9738766980146
"GSE176078_Tumor","TNBC","CID4465","Cancer Epithelial",124,957,12.957157784744
"GSE176078_Tumor","TNBC","CID4465","Endothelial",196,957,20.4806687565308
"GSE176078_Tumor","TNBC","CID4465","Myeloid",138,957,14.4200626959248
"GSE176078_Tumor","TNBC","CID4465","Normal Epithelial",9,957,0.940438871473354
"GSE176078_Tumor","TNBC","CID4465","PVL",114,957,11.9122257053292
"GSE176078_Tumor","TNBC","CID4465","Plasmablasts",89,957,9.29989550679206
"GSE176078_Tumor","TNBC","CID4465","T-cells",26,957,2.71682340647858
"GSE176078_Tumor","TNBC","CID4495","B-cells",766,7682,9.97136162457693
"GSE176078_Tumor","TNBC","CID4495","CAFs",224,7682,2.91590731580318
"GSE176078_Tumor","TNBC","CID4495","Cancer Epithelial",1049,7682,13.6552980994533
"GSE176078_Tumor","TNBC","CID4495","Endothelial",179,7682,2.33012236396772
"GSE176078_Tumor","TNBC","CID4495","Myeloid",876,7682,11.4032803957303
"GSE176078_Tumor","TNBC","CID4495","PVL",187,7682,2.43426191096069
"GSE176078_Tumor","TNBC","CID4495","Plasmablasts",927,7682,12.0671700078105
"GSE176078_Tumor","TNBC","CID4495","T-cells",3474,7682,45.2225982816975
"GSE176078_Tumor","TNBC","CID44971","B-cells",364,7694,4.73095918897842
"GSE176078_Tumor","TNBC","CID44971","CAFs",574,7694,7.46035872108136
"GSE176078_Tumor","TNBC","CID44971","Cancer Epithelial",752,7694,9.77384975305433
"GSE176078_Tumor","TNBC","CID44971","Endothelial",210,7694,2.72939953210294
"GSE176078_Tumor","TNBC","CID44971","Myeloid",663,7694,8.61710423706785
"GSE176078_Tumor","TNBC","CID44971","Normal Epithelial",647,7694,8.40914998700286
