final_rank,pert_id,pert_iname,final_priority,portfolio_evidence_level,robust_rank,tier,cell_lines_tested,positive_cell_lines,negative_cell_lines,median_score,mean_score,min_score,max_score,reproducibility_score,positive_fraction,chembl_id,pref_name,identity_confidence,mechanism_status_corrected,mechanism_record_count,unique_targets,target_chembl_ids,mechanisms,action_types,literature_status,publication_count,oncology_status,oncology_publications,external_evidence_class,overall_evidence_class,final_evidence_score
11,BRD-K22096725,ALW-II-49-7,PRIORITY_C,SECONDARY,5,Tier 2 — Strong 4/5+,5,4,1,0.3282946220983697,0.24889593765976264,-0.18758994755541075,0.4868795406259359,0.26263569767869577,0.8,CHEMBL5993064,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,EVIDENCE_FOUND,7,EVIDENCE_FOUND,18,BREAST_CANCER_OR_HER2_EVIDENCE,REQUIRES_REVIEW,0.8015384615384616
12,BRD-K33379087,tivantinib,PRIORITY_B,MODERATE,14,Tier 1 — Consistent 5/5,5,5,0,0.213711431585622,0.25011851178186806,0.14092952643648457,0.4762647344152867,0.213711431585622,1,CHEMBL2103882,TIVANTINIB,HIGH,annotated,1,1,CHEMBL3717,Hepatocyte growth factor receptor inhibitor,INHIBITOR,EVIDENCE_FOUND,712,EVIDENCE_FOUND,1475,BREAST_CANCER_OR_HER2_EVIDENCE,REQUIRES_REVIEW,0.8007692307692308
13,BRD-K68191783,ALW-II-38-3,PRIORITY_C,SECONDARY,10,Tier 2 — Strong 4/5+,5,4,1,0.29872659510941135,0.14379473253663255,-0.68317635290808,0.41913746902078847,0.2389812760875291,0.8,CHEMBL3640475,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,EVIDENCE_FOUND,4,EVIDENCE_FOUND,11,BREAST_CANCER_OR_HER2_EVIDENCE,REQUIRES_REVIEW,0.7515384615384617
14,BRD-K49327517,THZ-2-98-01,PRIORITY_C,SECONDARY,12,Tier 2 — Strong 4/5+,5,4,1,0.28917564798090645,0.20655642113067005,-0.2236783976466873,0.5507389751734311,0.23134051838472516,0.8,CHEMBL4303658,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,EVIDENCE_FOUND,2,EVIDENCE_FOUND,2,BREAST_CANCER_OR_HER2_EVIDENCE,REQUIRES_REVIEW,0.7284615384615386
15,BRD-K07691486,roscovitine,PRIORITY_C,SECONDARY,17,Tier 2 — Strong 4/5+,5,4,2,0.2412372488010185,0.10937875503623,-0.5170593663393499,0.38348274965439777,0.1929897990408148,0.8,CHEMBL14762,SELICICLIB,REVIEW,annotated,5,5,CHEMBL301;CHEMBL3055;CHEMBL3116;CHEMBL308;CHEMBL4036,Cyclin-dependent kinase 2 inhibitor | Cyclin-dependent kinase 7 inhibitor | Cyclin-dependent kinase 9 inhibitor | Cyclin-dependent kinase 1 inhibitor | Cyclin-dependent kinase 5 inhibitor,INHIBITOR,EVIDENCE_FOUND,1456,EVIDENCE_FOUND,3730,BREAST_CANCER_OR_HER2_EVIDENCE,REQUIRES_REVIEW,0.7207692307692308
16,BRD-K93918653,quizartinib,PRIORITY_B,MODERATE,21,Tier 2 — Strong 4/5+,5,5,1,0.15511930929665405,0.1982050959541212,-0.08310820816442605,0.5013640066805835,0.15511930929665405,1,CHEMBL576982,QUIZARTINIB,HIGH,annotated,5,5,CHEMBL1844;CHEMBL1974;CHEMBL1936;CHEMBL2095189;CHEMBL2041,Macrophage colony stimulating factor receptor inhibitor | Tyrosine-protein kinase receptor FLT3 inhibitor | Stem cell growth factor receptor inhibitor | Platelet-derived growth factor receptor inhibitor | Tyrosine-protein kinase receptor RET inhibitor,INHIBITOR,EVIDENCE_FOUND,577,EVIDENCE_FOUND,2119,BREAST_CANCER_OR_HER2_EVIDENCE,REQUIRES_REVIEW,0.696923076923077
17,BRD-K97764662,PD-173074,PRIORITY_B,MODERATE,18,Tier 2 — Strong 4/5+,5,5,1,0.17988423509591692,0.16723412379255292,-0.1762906081127784,0.455049451336771,0.17988423509591692,1,CHEMBL189584,PD-173074,HIGH,no_mechanism_record,0,0,NA,NA,NA,EVIDENCE_FOUND,120,EVIDENCE_FOUND,252,BREAST_CANCER_OR_HER2_EVIDENCE,REQUIRES_REVIEW,0.6969230769230769
18,BRD-A87137733,GSK-690693,PRIORITY_B,MODERATE,24,Tier 3 — Moderate 3/5+,5,3,2,0.23315353117419957,0.1121669847317898,-0.4384835452215593,0.5516076289981013,0.13989211870451973,0.6,CHEMBL494089,GSK-690693,HIGH,annotated,3,3,CHEMBL2111353;CHEMBL2094138;CHEMBL2093867,Serine/threonine-protein kinase AKT inhibitor | cAMP-dependent protein kinase (PKA) inhibitor | Protein kinase C (PKC) inhibitor,INHIBITOR,EVIDENCE_FOUND,57,EVIDENCE_FOUND,97,BREAST_CANCER_OR_HER2_EVIDENCE,REQUIRES_REVIEW,0.6884615384615385
19,BRD-K16189898,CHIR-99021,PRIORITY_C,SECONDARY,16,Tier 2 — Strong 4/5+,5,4,1,0.24668063112429697,0.20200228191406305,-0.08639319764752505,0.329023962888225,0.1973445048994376,0.8,CHEMBL412142,LADUVIGLUSIB,REVIEW,no_mechanism_record,0,0,NA,NA,NA,EVIDENCE_FOUND,400,EVIDENCE_FOUND,1677,BREAST_CANCER_OR_HER2_EVIDENCE,REQUIRES_REVIEW,0.6823076923076924
20,BRD-K52721289,XMD-1527,PRIORITY_C,SECONDARY,15,Tier 1 — Consistent 5/5,5,5,0,0.20579944492316693,0.2206632863910568,0.09359300651619716,0.3943830294019987,0.20579944492316693,1,CHEMBL5303523,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,NO_MATCH_FOUND,0,NO_MATCH_FOUND,0,LIMITED_EXTERNAL_EVIDENCE,REQUIRES_REVIEW,0.6815384615384616
21,BRD-K71035033,masitinib,PRIORITY_C,SECONDARY,26,Tier 1 — Consistent 5/5,5,5,0,0.13946666630596513,0.17278545467439288,0.11412024659652918,0.36861141382912666,0.13946666630596513,1,CHEMBL1908391,MASITINIB,HIGH,annotated,3,3,CHEMBL2742;CHEMBL1936;CHEMBL2095189,Fibroblast growth factor receptor 3 inhibitor | Stem cell growth factor receptor inhibitor | Platelet-derived growth factor receptor inhibitor,INHIBITOR,NA,NA,NA,NA,NA,NA,0.6546153846153846
22,BRD-K78431006,crizotinib,PRIORITY_C,SECONDARY,27,Tier 2 — Strong 4/5+,5,5,1,0.13492042977449473,0.11106378431792004,-0.06090518646771308,0.28377631722584534,0.13492042977449473,1,CHEMBL601719,CRIZOTINIB,HIGH,annotated,6,6,CHEMBL3717;CHEMBL4247;CHEMBL3883330;CHEMBL2111387;CHEMBL5568;CHEMBL2689,Hepatocyte growth factor receptor inhibitor | ALK tyrosine kinase receptor inhibitor | EML4-ALK inhibitor | NPM/ALK (Nucleophosmin/ALK tyrosine kinase receptor) inhibitor | Proto-oncogene tyrosine-protein kinase ROS inhibitor | Macrophage-stimulating protein receptor inhibitor,INHIBITOR,NA,NA,NA,NA,NA,NA,0.6430769230769231
23,BRD-K42728290,NVP-BGJ398,PRIORITY_C,SECONDARY,22,Tier 1 — Consistent 5/5,5,5,0,0.15330785929646512,0.1640520934920849,0.00498461383961999,0.4070284325640745,0.15330785929646512,1,CHEMBL1852688,INFIGRATINIB,REVIEW,annotated,1,1,CHEMBL2095217,Fibroblast growth factor receptor inhibitor,INHIBITOR,NA,NA,NA,NA,NA,NA,0.6353846153846154
24,BRD-K86274953,XMD-132,PRIORITY_C,SECONDARY,19,Tier 2 — Strong 4/5+,5,4,1,0.20926536363049497,0.22104587971228631,-0.01463285784377475,0.5139142838977784,0.167412290904396,0.8,CHEMBL5303523,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6323076923076923
25,BRD-K07667918,linsitinib,PRIORITY_C,SECONDARY,29,Tier 3 — Moderate 3/5+,5,3,2,0.197197354979618,0.15823400096692825,-0.1252240473035385,0.4977245923714533,0.1183184129877708,0.6,CHEMBL1091644,LINSITINIB,HIGH,annotated,2,2,CHEMBL1957;CHEMBL1981,Insulin-like growth factor I receptor inhibitor | Insulin receptor inhibitor,INHIBITOR,NA,NA,NA,NA,NA,NA,0.6307692307692309
26,BRD-K04801023,SAR-245408,PRIORITY_C,SECONDARY,25,Tier 2 — Strong 4/5+,5,4,1,0.1747746084279201,0.12970655123071032,-0.03971941281802112,0.22626290157230228,0.13981968674233608,0.8,CHEMBL3360203,PILARALISIB,REVIEW,annotated,1,1,CHEMBL3559703,PI3-kinase class I inhibitor,INHIBITOR,NA,NA,NA,NA,NA,NA,0.6207692307692309
27,BRD-K04833372,GSK-1904529A,PRIORITY_C,SECONDARY,20,Tier 2 — Strong 4/5+,5,5,1,0.1620425818232706,0.15179970431985823,-0.1015484279337557,0.3488406575844655,0.1620425818232706,1,CHEMBL4303308,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6084615384615385
28,BRD-K29983336,rondual-kinase-inhibitor,PRIORITY_C,SECONDARY,23,Tier 3 — Moderate 3/5+,5,3,2,0.2345101254575288,0.11459263872596416,-0.2796226676413366,0.3907727236128973,0.14070607527451728,0.6,CHEMBL4536936,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6000000000000001
29,BRD-K99749624,linifanib,PRIORITY_C,SECONDARY,30,Tier 2 — Strong 4/5+,5,4,1,0.13390454862473586,0.1568300471631121,-0.0782509484906955,0.4881620978637856,0.1071236388997887,0.8,CHEMBL223360,LINIFANIB,HIGH,annotated,4,4,CHEMBL1844;CHEMBL1974;CHEMBL2095189;CHEMBL2095227,Macrophage colony stimulating factor receptor inhibitor | Tyrosine-protein kinase receptor FLT3 inhibitor | Platelet-derived growth factor receptor inhibitor | Vascular endothelial growth factor receptor inhibitor,INHIBITOR,NA,NA,NA,NA,NA,NA,0.5823076923076923
30,BRD-K55187425,ON-01910,PRIORITY_C,SECONDARY,28,Tier 3 — Moderate 3/5+,5,3,2,0.2020918862282824,0.15596863797568597,-0.08113528733171052,0.3846344183268796,0.12125513173696945,0.6,CHEMBL2013119,RIGOSERTIB SODIUM,REVIEW,no_mechanism_record,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5423076923076924
31,BRD-K81528515,nilotinib,PRIORITY_C,SECONDARY,31,Tier 2 — Strong 4/5+,5,4,1,0.13239231519449188,0.07379191306399933,-0.34442146498077236,0.36530301994428904,0.10591385215559351,0.8,CHEMBL255863,NILOTINIB,HIGH,no_mechanism_record,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5207692307692308
32,BRD-K19477839,SGX523,PRIORITY_C,SECONDARY,34,Tier 2 — Strong 4/5+,5,4,1,0.1276573741017118,0.13429994780697188,-0.00399906952813449,0.2558097973037562,0.10212589928136943,0.8,CHEMBL1236107,SGX-523,REVIEW,annotated,1,1,CHEMBL3717,Hepatocyte growth factor receptor inhibitor,INHIBITOR,NA,NA,NA,NA,NA,NA,0.4938461538461538
33,BRD-K93747373,HG-5-113-01,PRIORITY_C,SECONDARY,33,Tier 3 — Moderate 3/5+,5,3,2,0.17116155940126684,0.02758270199611786,-0.2633025837456575,0.3014320500994697,0.1026969356407601,0.6,CHEMBL2170016,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4923076923076923
34,BRD-K01253243,SB-590885,PRIORITY_C,SECONDARY,35,Tier 3 — Moderate 3/5+,5,3,2,0.16589710135076496,0.1848251414200652,-0.1613868122335157,0.5818608826440771,0.09953826081045898,0.6,CHEMBL1909414,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47692307692307695
35,BRD-K49075727,nintedanib,PRIORITY_C,SECONDARY,37,Tier 2 — Strong 4/5+,5,4,1,0.12301843169954484,0.02935982938973024,-0.3724239574427016,0.1790423313020623,0.09841474535963587,0.8,CHEMBL502835,NINTEDANIB,HIGH,no_mechanism_record,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4669230769230769
36,BRD-K66847579,WZ-7043,PRIORITY_C,SECONDARY,32,Tier 2 — Strong 4/5+,5,4,1,0.12943157325617413,0.11854551438926748,-0.2046814967603897,0.4065102696827575,0.10354525860493932,0.8,CHEMBL237830,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4592307692307693
37,BRD-K53414658,tivozanib,PRIORITY_C,SECONDARY,43,Tier 3 — Moderate 3/5+,5,3,2,0.12065486529796378,0.0492281777600642,-0.3415970810206368,0.3648998985245189,0.07239291917877827,0.6,CHEMBL1289494,TIVOZANIB,HIGH,annotated,1,1,CHEMBL2095227,Vascular endothelial growth factor receptor inhibitor,INHIBITOR,NA,NA,NA,NA,NA,NA,0.4461538461538462
38,BRD-K92428232,GSK-461364,PRIORITY_C,SECONDARY,42,Tier 2 — Strong 4/5+,5,4,1,0.09101742249842062,0.08263635370175862,-0.116761891153011,0.3114346627085606,0.0728139379987365,0.8,CHEMBL1908394,GSK-461364,HIGH,annotated,1,1,CHEMBL3024,Serine/threonine-protein kinase PLK1 inhibitor,INHIBITOR,NA,NA,NA,NA,NA,NA,0.43615384615384617
39,BRD-K49468759,KIN001-266,PRIORITY_C,SECONDARY,39,Tier 3 — Moderate 3/5+,5,3,2,0.15063542151802806,0.08733376785820672,-0.10683428556373842,0.2529106558776021,0.09038125291081683,0.6,CHEMBL3663550,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4307692307692308
40,BRD-K68756823,FR-180204,PRIORITY_C,SECONDARY,36,Tier 2 — Strong 4/5+,5,4,2,0.12373427484623808,0.10669197908079532,-0.14505625173494974,0.2912857582739108,0.09898741987699047,0.8,CHEMBL259551,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4284615384615385
41,BRD-K01567962,pyrazolanthrone,EXPLORATORY,EXPLORATORY,38,Tier 2 — Strong 4/5+,5,4,1,0.1133638234296136,0.08122464170686527,-0.15223641701630858,0.19868372791432945,0.09069105874369088,0.8,CHEMBL7064,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39769230769230773
42,BRD-K67578145,GDC-0879,EXPLORATORY,EXPLORATORY,40,Tier 2 — Strong 4/5+,5,4,1,0.09837041265814288,0.08208564179771549,-0.5057857178034202,0.4647275061539092,0.07869633012651431,0.8,CHEMBL2139930,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37461538461538463
43,BRD-K04853698,LDN-193189,EXPLORATORY,EXPLORATORY,41,Tier 2 — Strong 4/5+,5,4,2,0.09703843040730586,0.14391035453126583,-0.06078101993556446,0.40572254958910114,0.0776307443258447,0.8,CHEMBL5303350,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36307692307692313
44,BRD-K92723993,imatinib,EXPLORATORY,EXPLORATORY,44,Tier 2 — Strong 4/5+,5,4,2,0.08561592729611817,0.16030501726009616,-0.1603561894153253,0.510241043882304,0.06849274183689454,0.8,CHEMBL941,IMATINIB,HIGH,no_mechanism_record,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3630769230769231
45,BRD-K02123250,JNJ-38877605,EXPLORATORY,EXPLORATORY,52,Tier 3 — Moderate 3/5+,5,3,2,0.08672939841674482,0.07927317344628426,-0.2119330014535452,0.3618378354477976,0.05203763905004689,0.6,CHEMBL2133806,JNJ-38877605,HIGH,annotated,1,1,CHEMBL3717,Hepatocyte growth factor receptor inhibitor,INHIBITOR,NA,NA,NA,NA,NA,NA,0.35000000000000003
46,BRD-K59184148,SB-216763,EXPLORATORY,EXPLORATORY,46,Tier 2 — Strong 4/5+,5,4,1,0.08323343431350619,0.12969941185632491,-0.2708959975955597,0.4407212195264071,0.06658674745080495,0.8,CHEMBL102714,SB-216763,HIGH,no_mechanism_record,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34
47,BRD-K70511574,HMN-214,EXPLORATORY,EXPLORATORY,53,Tier 3 — Moderate 3/5+,5,3,2,0.0672642331415868,0.01475758824873412,-0.37246086919955,0.39572026291204127,0.04035853988495208,0.6,CHEMBL3991927,HMN-214,HIGH,annotated,1,1,CHEMBL3024,Serine/threonine-protein kinase PLK1 inhibitor,INHIBITOR,NA,NA,NA,NA,NA,NA,0.31538461538461543
48,BRD-K82091397,SB-239063,EXPLORATORY,EXPLORATORY,47,Tier 3 — Moderate 3/5+,5,3,2,0.09861347452763648,0.10705311676224635,-0.19444144504398883,0.5102358560743852,0.05916808471658188,0.6,CHEMBL97162,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3153846153846154
49,BRD-K09991945,GSK-3-inhibitor-II,EXPLORATORY,EXPLORATORY,45,Tier 2 — Strong 4/5+,5,4,1,0.0837003236174271,0.1154558059328921,-0.12125910732312,0.42004732967754455,0.06696025889394168,0.8,CHEMBL5723360,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3015384615384616
50,BRD-K53972329,ruxolitinib,EXPLORATORY,EXPLORATORY,51,Tier 2 — Strong 4/5+,5,4,2,0.06582477574474717,0.04812639418024084,-0.07788599887074506,0.1792564089145235,0.05265982059579774,0.8,CHEMBL1789941,RUXOLITINIB,HIGH,no_mechanism_record,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2976923076923077
51,BRD-K15592317,CP-466722,EXPLORATORY,EXPLORATORY,48,Tier 3 — Moderate 3/5+,5,3,2,0.0961921223794742,0.05870758496730335,-0.2062941988881643,0.3059762141468618,0.05771527342768452,0.6,CHEMBL4303229,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2884615384615385
52,BRD-K05870596,XMD-1499,EXPLORATORY,EXPLORATORY,49,Tier 3 — Moderate 3/5+,5,3,2,0.09417920250047272,0.0481247058494131,-0.1580482709097627,0.2595763711513862,0.05650752150028363,0.6,CHEMBL5303523,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27692307692307694
53,BRD-A35869383,ibrutinib,EXPLORATORY,EXPLORATORY,56,Tier 3 — Moderate 3/5+,5,3,2,0.05138423362677108,-0.08794103435084605,-0.6337210106469389,0.22782820393682213,0.03083054017606264,0.6,CHEMBL1873475,IBRUTINIB,HIGH,annotated,1,1,CHEMBL5251,Tyrosine-protein kinase BTK inhibitor,INHIBITOR,NA,NA,NA,NA,NA,NA,0.2730769230769231
54,BRD-A37704979,SB-203580,EXPLORATORY,EXPLORATORY,54,Tier 2 — Strong 4/5+,5,4,2,0.04788495595599945,4.259578950083221e-4,-0.6475470216388628,0.4679264944340986,0.03830796476479956,0.8,CHEMBL10,SB-203580,HIGH,no_mechanism_record,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2630769230769231
55,BRD-K59067695,SU-11274,EXPLORATORY,EXPLORATORY,50,Tier 2 — Strong 4/5+,5,4,1,0.06601856418622658,0.00506828875451109,-0.3463464115535679,0.17117444720460148,0.05281485134898126,0.8,CHEMBL5303414,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25923076923076926
56,BRD-K02113016,olaparib,EXPLORATORY,EXPLORATORY,58,Tier 2 — Strong 4/5+,5,4,1,0.03405585483832996,0.09571013627678764,-0.11386342124356308,0.3049140291943314,0.02724468387066396,0.8,CHEMBL521686,OLAPARIB,HIGH,annotated,1,1,CHEMBL3390820,"PARP 1, 2 and 3 inhibitor",INHIBITOR,NA,NA,NA,NA,NA,NA,0.25923076923076926
57,BRD-K79404599,enzastaurin,EXPLORATORY,EXPLORATORY,61,Tier 3 — Moderate 3/5+,5,3,3,0.03446454871938548,0.02566420610454218,-0.21166248507270996,0.3020071286870456,0.02067872923163128,0.6,CHEMBL300138,ENZASTAURIN,HIGH,annotated,1,1,CHEMBL3045,Protein kinase C beta inhibitor,INHIBITOR,NA,NA,NA,NA,NA,NA,0.2153846153846154
58,BRD-A90451247,KU-60019,EXPLORATORY,EXPLORATORY,55,Tier 3 — Moderate 3/5+,5,3,2,0.06324465019744968,0.07248857675595352,-0.09178641817404123,0.2934288974753171,0.0379467901184698,0.6,CHEMBL2140173,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18461538461538465
59,BRD-K75308783,SAR-245409,EXPLORATORY,EXPLORATORY,60,Tier 3 — Moderate 3/5+,5,3,2,0.03525318635348,0.00504244324747208,-0.1947130868842479,0.14166963556020604,0.021151911812088,0.6,CHEMBL2109635,SAR-566658,REVIEW,annotated,2,2,CHEMBL3580494;CHEMBL2095182,Mucin-1 binding agent | Tubulin inhibitor,BINDING AGENT;INHIBITOR,NA,NA,NA,NA,NA,NA,0.1769230769230769
60,BRD-K64052750,gefitinib,EXPLORATORY,EXPLORATORY,65,Tier 3 — Moderate 3/5+,5,3,3,0.01117667465371403,0.05605281917676416,-0.2671490504299298,0.28855360402080366,0.00670600479222841,0.6,CHEMBL939,GEFITINIB,HIGH,annotated,1,1,CHEMBL203,Epidermal growth factor receptor erbB1 inhibitor,INHIBITOR,NA,NA,NA,NA,NA,NA,0.16153846153846155
61,BRD-K98333955,NVP-AEW541,EXPLORATORY,EXPLORATORY,57,Tier 3 — Moderate 3/5+,5,3,2,0.04574009321752734,-0.03218103533377398,-0.23383153075160068,0.10316183215963556,0.0274440559305164,0.6,CHEMBL4797365,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15384615384615383
62,BRD-K53281329,SYK-inhibitor,EXPLORATORY,EXPLORATORY,59,Tier 3 — Moderate 3/5+,5,3,2,0.04322310007721161,0.06880459089169033,-0.05214921920567714,0.23971988342242811,0.02593386004632696,0.6,CHEMBL2204021,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13846153846153847
63,BRD-K13566078,BMS-345541,EXPLORATORY,EXPLORATORY,66,Tier 3 — Moderate 3/5+,5,3,3,0.00390663063898021,0.02639180057970789,-0.2319286642993083,0.3633889434734052,0.00234397838338812,0.6,CHEMBL249697,BMS-345541,HIGH,no_mechanism_record,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1
