"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.0076756973621992,1.26988931454994,0.441,0.298,1,"22","NDUFS3"
0.00270797399063394,1.26731082661382,0.412,0.222,1,"22","TPD52L2"
0.00297278647476173,1.26545032785299,0.5,0.333,1,"22","NONO"
0,1.26498106833629,0.676,0.147,0,"22","COL6A2"
1.65528725792896e-06,1.26148128498174,0.265,0.062,0.0458829075025329,"22","C5AR1"
1.26722889670638e-06,1.25767446752427,0.794,0.5,0.0351263177878043,"22","PDIA6"
0.000124281648623104,1.25650703370911,0.353,0.135,1,"22","HBEGF"
5.29686958516962e-07,1.25562831339118,0.765,0.46,0.0146823928031317,"22","PLP2"
1.29424619910168e-08,1.24926879381118,0.882,0.578,0.000358752103928994,"22","TSPO"
2.35175434681878e-10,1.24650958986833,0.971,0.7,6.51882787394698e-06,"22","TPI1"
1.05831143848434e-09,1.24510542301022,0.941,0.671,2.93353347633474e-05,"22","RAN"
0.00909849289350739,1.24079215236626,0.382,0.234,1,"22","DNAJC2"
0.0026925766649184,1.24065718362338,0.471,0.28,1,"22","MRPL3"
0,1.2394310304068,0.559,0.091,0,"22","COL6A3"
1.07533519295711e-05,1.23686879963098,0.618,0.326,0.29807216213578,"22","NINJ1"
0.00376248236268828,1.23628374728312,0.382,0.204,1,"22","SCCPDH"
2.86810131200355e-10,1.22982239363116,0.971,0.666,7.95009002674263e-06,"22","CALR"
0.000648560967439593,1.22815068629567,0.529,0.31,1,"22","BLVRB"
5.60466447296903e-06,1.22564186941417,0.676,0.382,0.155355694526229,"22","LSM2"
3.15076631451916e-10,1.22357740573401,0.882,0.578,8.73360914721566e-06,"22","CSTB"
0.00716570346595713,1.22110233345299,0.412,0.248,1,"22","LSM10"
0.000458701349448809,1.22007797650658,0.471,0.247,1,"22","SMC3"
0.00675278211845143,1.21721334549412,0.324,0.168,1,"22","SHC1"
6.00321807819881e-08,1.21443715334076,0.824,0.482,0.00166403201909593,"22","GNB2"
4.57631155192928e-09,1.21418600279908,0.941,0.701,0.000126850779907928,"22","H2AFZ"
3.57655947236246e-06,1.20293610941084,0.794,0.536,0.0991386520144151,"22","PRELID1"
1.50885049683414e-05,1.20121618399353,0.559,0.245,0.418238269217454,"22","GLIPR1"
0.00582848521816781,1.19927185297989,0.382,0.221,1,"22","HPCAL1"
0.00310598286033059,1.19134213439652,0.471,0.279,1,"22","RNF13"
4.24682859989645e-08,1.18918255430335,0.735,0.332,0.0011771784196053,"22","FCGRT"
0.0012302248405589,1.18884337652287,0.382,0.185,1,"22","ADK"
0.000147009906946938,1.18615589053192,0.618,0.373,1,"22","LSM4"
0.00455422375354542,1.18462772628309,0.5,0.317,1,"22","ECHS1"
9.89609683088588e-09,1.18371363305009,0.882,0.552,0.000274309908055326,"22","YWHAQ"
9.73830584989344e-05,1.17628906256671,0.647,0.434,1,"22","RAD23A"
1.83519865970538e-11,1.17598754342958,0.971,0.503,5.08698716483735e-07,"22","NPC2"
0.00906920380498022,1.17275209555411,0.382,0.225,1,"22","MRPS35"
1.90310888270595e-06,1.17225582179618,0.765,0.441,0.0527522751197262,"22","HN1"
0,1.17123163757116,0.676,0.167,0,"22","CFD"
0.0016391500713151,1.16677253223158,0.559,0.364,1,"22","SNRPC"
0.000226558068275429,1.16482504303756,0.588,0.341,1,"22","MOB1A"
8.47812506399315e-06,1.1630281480452,0.824,0.618,0.235005148648826,"22","GNG5"
0.00267164830877276,1.15766732654674,0.618,0.455,1,"22","LAMTOR1"
0.00197716392851155,1.1566055027857,0.559,0.379,1,"22","FLOT1"
0.00825477573231082,1.14694274812114,0.412,0.249,1,"22","POLR2H"
0,1.14311350894009,0.824,0.134,0,"22","RNASE1"
2.14506194533559e-05,1.13969606170076,0.647,0.366,0.594589720627573,"22","H2AFY"
0.00480198753153838,1.1342834159878,0.529,0.366,1,"22","NDUFB6"
8.08686122311109e-06,1.12433451285389,0.706,0.393,0.224159706243416,"22","NFKBIZ"
0.00249360613294436,1.12289348624888,0.559,0.379,1,"22","ADRM1"
3.05485235330138e-07,1.11829618181501,0.882,0.549,0.00846774523811611,"22","ENO1"
0.000491722836789776,1.11779562802312,0.588,0.393,1,"22","TOMM22"
0.00304518278077848,1.11664713075488,0.412,0.224,1,"22","GYG1"
0.00342183852857336,1.11514075970453,0.471,0.284,1,"22","ACTN1"
0.00067121139462567,1.11267817253017,0.618,0.395,1,"22","LSM5"
6.35459490883061e-05,1.11257425234297,0.676,0.444,1,"22","PTMS"
0.00547347289471478,1.10916369621032,0.5,0.328,1,"22","PSMB7"
6.83675338564171e-13,1.10774640173451,1,0.911,1.89507967096603e-08,"22","ACTG1"
0.00724501418884027,1.10614710560457,0.412,0.246,1,"22","ZBTB38"
0.00178793454728798,1.10272357065767,0.529,0.33,1,"22","IMPDH2"
9.70170603409315e-07,1.10073278446517,0.765,0.445,0.0268921589559028,"22","PPA1"
0.00478899399949562,1.09941436395071,0.412,0.231,1,"22","DHX29"
0.00483470187497037,1.09918784055575,0.471,0.289,1,"22","GPI"
1.17207854439805e-05,1.09475532391093,0.5,0.205,0.324888451721695,"22","PMP22"
0.00454987058912515,1.09319811047534,0.559,0.397,1,"22","NUDC"
0.000252218414346084,1.09132187299125,0.412,0.185,1,"22","PALLD"
0.00014407708856301,1.08526066552975,0.647,0.386,1,"22","HM13"
0.00267296457301347,1.08437398179784,0.529,0.373,1,"22","CYC1"
1.58374233727443e-08,1.08023317142525,1,0.736,0.000438997538469099,"22","CLIC1"
0.00010858233221378,1.07617742294695,0.676,0.43,1,"22","NHP2"
0.000597569027793288,1.07486137425066,0.588,0.357,1,"22","ASAH1"
1.14035701614945e-05,1.07023966239897,0.441,0.165,0.316095561306466,"22","PRKCDBP"
0.0077448605492374,1.06926076026292,0.5,0.347,1,"22","PSMA5"
0.000592966278228912,1.06170769043015,0.5,0.276,1,"22","CD82"
0.00141045214226176,1.05983901029463,0.588,0.411,1,"22","AUP1"
0.00798746888571045,1.05649622452482,0.471,0.303,1,"22","PSMC3"
0.00014488287537695,1.05616724816024,0.676,0.46,1,"22","TRAPPC1"
0.00862210547936981,1.05616181786794,0.471,0.319,1,"22","SPG21"
0.000285581478987496,1.05519345218868,0.618,0.405,1,"22","ZC3H15"
0.00219131820715002,1.05311042427301,0.324,0.143,1,"22","IFI44"
0.00301315441152861,1.05247841623701,0.618,0.436,1,"22","CCT3"
0.00317534265731267,1.04909118172384,0.471,0.3,1,"22","RALA"
0.0039020045778202,1.04889704007455,0.5,0.319,1,"22","SNRNP70"
