"gene","celltype","group1","group2","comparison","logFC","logCPM","F","PValue","FDR","direction"
"ASF1B","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",2.26860580098605,2.25900722549602,28.3048221256224,2.23303980530533e-05,0.00747707454701834,"TNBC_higher"
"DCXR","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-1.76719765953957,8.63794496015255,30.4240134228341,2.24223685938236e-05,0.00747707454701834,"ER_Positive_higher"
"SERPINE2","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",6.12079310380633,4.50935988471428,27.5932306097976,2.24344285594206e-05,0.00747707454701834,"TNBC_higher"
"FSCN1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",5.13296357666536,5.93539332927507,29.429978251034,2.33879046577855e-05,0.00757833077314078,"TNBC_higher"
"MSL3","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",1.47820349356432,4.10754491777364,29.7521221202493,2.49670455452156e-05,0.00787136719689027,"TNBC_higher"
"GYPC","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",5.0455884675758,4.91844219075871,27.8406204843867,2.70723971105792e-05,0.00802997043283392,"TNBC_higher"
"ASNS","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",2.2199413764586,4.33238380136524,28.9915530539354,2.87828115979079e-05,0.00802997043283392,"TNBC_higher"
"MVD","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",1.94033087269888,4.47366652641223,29.0787367120901,2.87925885614091e-05,0.00802997043283392,"TNBC_higher"
"PHF19","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",2.80812879105978,2.73500855690964,27.3446931427199,2.88053103763647e-05,0.00802997043283392,"TNBC_higher"
"WWP1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-2.42676395360334,5.99680988138545,29.1677619985819,2.89120238473231e-05,0.00802997043283392,"ER_Positive_higher"
"CACNA1D","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-3.65924463507992,2.3848628850132,25.8096905915442,3.0383286382858e-05,0.00805522809512024,"ER_Positive_higher"
"P4HTM","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-1.66950323243971,5.60128565105816,28.7328034170662,3.17408861653263e-05,0.00805522809512024,"ER_Positive_higher"
"LMNTD2","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-2.23806952770129,1.71582645217502,25.7367112085494,3.17890738820746e-05,0.00805522809512024,"ER_Positive_higher"
"HACD1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",3.53055446940873,2.93100099301577,26.4512414706832,3.18006273721143e-05,0.00805522809512024,"TNBC_higher"
"PRKX","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",2.64352680743,3.05466912995142,27.3487902387316,3.24556982829534e-05,0.00805522809512024,"TNBC_higher"
"CYB5B","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",1.1563803904916,5.2404107831465,28.2229253207881,3.54012990223233e-05,0.00849062006246757,"TNBC_higher"
"SLC22A5","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-2.32151788053142,4.6228043040965,27.9593488124545,3.56656993622727e-05,0.00849062006246757,"ER_Positive_higher"
"YBX1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",2.93942144012823,9.66770191436422,27.9652363917988,3.73361877478983e-05,0.00867824318406693,"TNBC_higher"
"TTC36","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-3.76911143085689,4.96658683379097,27.2124995084261,3.79417404532716e-05,0.00867824318406693,"ER_Positive_higher"
"LIX1L","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",2.74067874499544,2.70367154509533,25.8485990416733,4.13165615932109e-05,0.00926841713432317,"TNBC_higher"
"TRIM23","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-2.01155795469453,2.36259994855051,25.3597680912275,4.42455559575454e-05,0.00932403623972048,"ER_Positive_higher"
"CDT1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",2.47377470440854,2.2342491666584,25.0222168442029,4.60451373865834e-05,0.00932403623972048,"TNBC_higher"
"PTTG1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",3.38876272248443,4.48020367884211,26.3907770299958,4.67658234860113e-05,0.00932403623972048,"TNBC_higher"
"EPSTI1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",3.23735159939279,2.90422528795306,25.0708099234175,4.75594172079347e-05,0.00932403623972048,"TNBC_higher"
"WIPF1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",3.94408582032146,3.22434632293362,24.7450942666028,4.82538721068789e-05,0.00932403623972048,"TNBC_higher"
"GLRX3","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",1.70312477938873,6.26948268936914,26.7011088229687,4.91714380510815e-05,0.00932403623972048,"TNBC_higher"
"PDSS1","Luminal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",1.94749576382683,2.80791845230663,25.7410598183028,4.93508930632087e-05,0.00932403623972048,"TNBC_higher"
