"gene","celltype","group1","group2","comparison","logFC","logCPM","F","PValue","FDR","direction"
"MXRA8","Luminal_Epithelial","TNBC","HER2_Positive","TNBC vs HER2_Positive",-3.81847416495674,2.36887602064368,46.6202300570213,1.64229624175808e-06,0.0160016511438412,"HER2_Positive_higher"
"PNMT","Luminal_Epithelial","TNBC","HER2_Positive","TNBC vs HER2_Positive",-6.96032031311355,4.74210604341889,43.2326055452557,2.60020330579155e-06,0.0160016511438412,"HER2_Positive_higher"
"GNAI1","Luminal_Epithelial","TNBC","HER2_Positive","TNBC vs HER2_Positive",5.58996250372505,3.31192875661513,42.3610676828258,8.51170850199362e-06,0.0349207027475125,"TNBC_higher"
"ACY3","Luminal_Epithelial","TNBC","HER2_Positive","TNBC vs HER2_Positive",-5.61937216618617,3.68873703318719,33.4470783338316,1.43015860162825e-05,0.0440059801721011,"HER2_Positive_higher"
