"gene","celltype","group1","group2","comparison","logFC","logCPM","F","PValue","FDR","direction"
"CXCL12","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",7.40882055677813,1.48898278489822,28.1490383121393,4.62585753080944e-05,0.0155724539059591,"TNBC_higher"
"PLXNA4","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",6.34758550788737,0.0581988580134392,26.8653474186778,4.75464010636697e-05,0.0155724539059591,"TNBC_higher"
"HCLS1","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",7.48593299250343,3.4475101658037,29.6129637957023,4.77828282134767e-05,0.0155724539059591,"TNBC_higher"
"RARA-AS1","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-2.11648145263817,2.60313971202954,30.1684469603889,4.83124453623725e-05,0.0155724539059591,"Normal_higher"
"KATNAL2","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",4.33620666265453,1.65450316078826,30.6141693134512,4.84194931302243e-05,0.0155724539059591,"TNBC_higher"
"FCER1G","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",6.26610047946535,2.69260342046571,29.6221685314158,5.42960334990537e-05,0.0170258787044658,"TNBC_higher"
"C21orf33","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",3.97698760170535,2.28258661667542,30.6670873161476,5.68830822552951e-05,0.0170883841698044,"TNBC_higher"
"WFDC3","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-3.3079429126183,3.27336490428358,28.8444743801025,5.72568935512967e-05,0.0170883841698044,"Normal_higher"
"ITGA4","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",7.8875460159124,2.08977337092277,27.0837266454441,5.85825176832967e-05,0.0170883841698044,"TNBC_higher"
"FBXO32","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-2.96204211616968,6.80110123274853,31.0168866570089,6.06816769011841e-05,0.0172984153038989,"Normal_higher"
"DSC3","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-3.96838237212979,1.97191553634598,25.5424199386097,6.41488310789686e-05,0.0178804175160779,"Normal_higher"
"LAMC2","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-3.58968652513797,4.11905669799665,28.8635864428601,6.82880524254621e-05,0.0180397238876861,"Normal_higher"
"USP53","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-3.03461058343269,5.58398363226678,30.1282349764783,6.87870882463852e-05,0.0180397238876861,"Normal_higher"
"LCP2","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",6.37384110477192,2.08139266165221,26.9985623706348,7.04323064394814e-05,0.0180397238876861,"TNBC_higher"
"SLC20A2","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-2.08678277744712,4.4576888796027,29.8148264777989,7.11271441555082e-05,0.0180397238876861,"Normal_higher"
"CPVL","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",5.76857532163678,0.68081799492568,24.8365501388813,7.19115199222121e-05,0.0180397238876861,"TNBC_higher"
"RCAN1","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-3.06944921548874,6.53433896778569,29.7139342825754,7.51672755340031e-05,0.0182621866815539,"Normal_higher"
"FKBP1B","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-4.42524808594776,2.70818623024719,24.9982970077046,7.60280480802093e-05,0.0182621866815539,"Normal_higher"
"IL7R","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",8.28476583683818,4.36423461148282,27.3780528245169,7.7166219733904e-05,0.0182621866815539,"TNBC_higher"
"JCHAIN","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",9.37684211769957,3.65499405228322,25.6815706161609,8.32208393333465e-05,0.0190839358179544,"TNBC_higher"
"CXCL9","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",7.4557465073916,1.65452499376873,25.2348384156085,8.36814533993055e-05,0.0190839358179544,"TNBC_higher"
"TYROBP","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",6.17622309801203,3.12454109579294,27.6746544390211,8.83727131806032e-05,0.0191016089405291,"TNBC_higher"
"EVI2A","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",6.31759129261649,0.456294932825741,24.0793532295726,8.84600352831409e-05,0.0191016089405291,"TNBC_higher"
"CLDN12","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-2.1239700955116,4.27709336564518,28.4245060201311,8.91908708326324e-05,0.0191016089405291,"Normal_higher"
"COL3A1","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",7.87734656654898,2.86955424331765,24.905391709274,9.03353117601081e-05,0.0191016089405291,"TNBC_higher"
"NKAPL","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-4.3776180181271,1.90110437343888,23.8010263992444,9.21526934007342e-05,0.0191016089405291,"Normal_higher"
"H1FX","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-2.49154037737879,6.17934407910406,28.3548152491991,9.49442934186284e-05,0.0191016089405291,"Normal_higher"
"PIGR","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-5.30235969375472,4.54892629067144,25.3775414917248,9.51790879963618e-05,0.0191016089405291,"Normal_higher"
"OVCA2","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",9.18757400677682,3.42676495934812,25.0393721073372,9.59420683451594e-05,0.0191016089405291,"TNBC_higher"
"CXCL1","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-5.58538606499484,9.8039074504282,27.8338525793985,0.000104331090832269,0.0199775526828388,"Normal_higher"
"CD247","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",6.56118942934504,1.47057310376473,23.9231809858404,0.000104575775457451,0.0199775526828388,"TNBC_higher"
"ADGRF1","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",-4.07385135302074,3.65312171500304,25.2788986737396,0.000105119865826944,0.0199775526828388,"Normal_higher"
"NR4A2","Luminal_Epithelial","TNBC","Normal","TNBC vs Normal",3.75143004158283,6.06030458300257,27.0907187524434,0.000119118921519509,0.0223001288450626,"TNBC_higher"
