"gene","celltype","group1","group2","comparison","logFC","logCPM","F","PValue","FDR","direction"
"LCN2","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-8.87718299059588,9.19701680949957,95.5643385692397,1.67866598391875e-08,7.63386073353599e-06,"Normal_higher"
"CA9","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-8.72477168657776,3.67054561121082,77.4800358540771,1.77058880271308e-08,7.77829156102738e-06,"Normal_higher"
"NR4A1","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",6.56957911091852,8.29492326812784,102.647521480451,1.8140881231156e-08,7.77829156102738e-06,"ER_Positive_higher"
"ENO1","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-4.05617577774222,9.52686954131988,101.777535899372,1.92434699014401e-08,8.02185424474756e-06,"Normal_higher"
"PINX1","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-3.5692938625025,3.37028635440786,84.9520209482793,2.13254317876775e-08,8.54022919565146e-06,"Normal_higher"
"RGS20","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-8.01205657877435,2.00232507195886,80.028527006464,2.16251555563907e-08,8.54022919565146e-06,"Normal_higher"
"CD68","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-4.51532787593059,4.7327674460469,88.9432972498324,2.38454739084456e-08,9.1756160754883e-06,"Normal_higher"
"UPP1","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-5.46461425475752,5.63684530694062,88.4207226593193,2.57018255140873e-08,9.64268238724772e-06,"Normal_higher"
"AKR1C1","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-12.3113960541162,7.18779547522601,73.6639383452839,2.68022949993551e-08,9.81029368427615e-06,"Normal_higher"
"GAL","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-7.32229708525572,3.96658684770149,79.6079091584745,2.80916561602306e-08,9.91211971012009e-06,"Normal_higher"
"SLC6A14","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-6.87762168522483,3.34636058112989,79.7744161426093,2.84014891407452e-08,9.91211971012009e-06,"Normal_higher"
"ALDH1A3","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-7.26199640140528,6.22349222886841,75.8547521918843,3.20088317835276e-08,1.08696795544056e-05,"Normal_higher"
"RP11-395G23.3","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-5.89757699856783,1.95462396382333,77.7468679974452,3.25938282100522e-08,1.08696795544056e-05,"Normal_higher"
"NEURL3","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-6.64135587690539,3.99188196259527,75.034578469438,3.63660108544163e-08,1.16864721375455e-05,"Normal_higher"
"TNIP3","Luminal_Epithelial","ER_Positive","Normal","ER_Positive vs Normal",-8.87839860062976,3.78139670308748,70.7947704971224,3.66005324491662e-08,1.16864721375455e-05,"Normal_higher"
