"gene","celltype","group1","group2","comparison","logFC","logCPM","F","PValue","FDR","direction"
"SLC6A14","Basal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",5.02217844220082,3.41831121621115,49.4581876523432,2.85929731018123e-05,0.0162895514929898,"HER2_Positive_higher"
"DDAH1","Basal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",4.82540838082821,2.12398510593582,58.9772082381108,2.54231545260246e-05,0.0162895514929898,"HER2_Positive_higher"
"TMPRSS2","Basal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",4.65955534735889,3.27582570433785,49.9652827017833,2.71205759439259e-05,0.0162895514929898,"HER2_Positive_higher"
"EFHD1","Basal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",4.28428617989531,5.10384833860574,66.6878453351692,1.7612794123702e-05,0.0162895514929898,"HER2_Positive_higher"
"TTYH1","Basal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",4.07374008846257,4.51179148621154,65.2572033887433,1.73546175154652e-05,0.0162895514929898,"HER2_Positive_higher"
"RBM47","Basal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",4.0163676409839,4.89553051169115,58.3235893435706,3.04619943767925e-05,0.0162895514929898,"HER2_Positive_higher"
"DNAJA4","Basal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",3.8481226015076,4.60927363089301,69.3891235998612,1.47316335155156e-05,0.0162895514929898,"HER2_Positive_higher"
"SLC9A3R1","Basal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",3.75152737254107,6.35048591198013,69.1607747356817,1.7984315432441e-05,0.0162895514929898,"HER2_Positive_higher"
"C1orf64","Basal_Epithelial","TNBC","ER_Positive","TNBC vs ER_Positive",-7.66349130645774,2.13599874682543,83.4727427992053,1.13284069396222e-07,0.00140789441445624,"ER_Positive_higher"
"MRGPRX3","Basal_Epithelial","TNBC","Normal","TNBC vs Normal",-10.2499197646053,6.20380054639232,97.9299261441136,6.86174980641163e-09,9.14190926708221e-05,"Normal_higher"
"HTR2A","Basal_Epithelial","TNBC","Normal","TNBC vs Normal",-8.49008479791848,3.859128465238,75.0279783615715,9.39215155710047e-08,0.000463144726098231,"Normal_higher"
"HES7","Basal_Epithelial","TNBC","Normal","TNBC vs Normal",-5.02592191616458,1.64148111405699,66.9798665122213,1.04288386871928e-07,0.000463144726098231,"Normal_higher"
"CACNA2D3","Basal_Epithelial","TNBC","Normal","TNBC vs Normal",-7.14952908120563,1.37919303782074,80.0215914250618,1.42051957873947e-07,0.000473139558688648,"Normal_higher"
