"PC","Rank","Gene","Loading"
"PC7",3,"KLK6",0.0915233882177156
"PC7",4,"KRT14",0.0899484789589307
"PC7",5,"KRT5",0.0896169655909759
"PC7",6,"RARRES1",0.0893285315718227
"PC7",7,"SAA2",0.0878488723796188
"PC7",8,"SFRP1",0.0865560842440688
"PC7",9,"KLK5",0.0851116404142302
"PC7",10,"RRM2",-0.0847574567549359
"PC7",11,"LIN28B",-0.0816387506331671
"PC7",12,"MKI67",-0.0813795821664449
"PC7",13,"KRT15",0.0802079890330813
"PC7",14,"C6orf15",0.079611345015602
"PC7",15,"LEMD1",0.0785801703213466
"PC7",16,"TMSB15A",-0.0785453724991315
"PC7",17,"LCN2",0.0780351800756571
"PC7",18,"MIA",0.0779589480855242
"PC7",19,"KRT16",0.0778565278075287
"PC7",20,"TYMS",-0.0775284921556474
"PC8",1,"IGKV3-15",-0.0964556863938699
"PC8",2,"IGKV1-9",-0.0961896657629747
"PC8",3,"IGKV3-20",-0.0952827838222738
"PC8",4,"IGKV3-11",-0.0908219616505749
"PC8",5,"IGKV4-1",-0.086702025975302
"PC8",6,"DERL3",-0.0861896423199971
"PC8",7,"IGKV1-5",-0.0850550198186242
"PC8",8,"MZB1",-0.0833913381032273
"PC8",9,"CD24",-0.0825549562836738
"PC8",10,"IGHG1",-0.0804768620468442
"PC8",11,"DHRS2",0.0802807915049519
"PC8",12,"TOP2A",0.0784353100953176
"PC8",13,"UBE2C",0.0735322589047108
"PC8",14,"HMGB2",0.0714653443077356
"PC8",15,"IGLL5",-0.0711984845302078
"PC8",16,"MKI67",0.0705625908314096
"PC8",17,"IGLV1-40",-0.0704658515294011
"PC8",18,"IGLV3-1",-0.0702262312166531
"PC8",19,"ARMT1",0.0697630942132868
"PC8",20,"CDK1",0.069100766369252
"PC9",1,"MZB1",-0.135336126842738
"PC9",2,"IGHG1",-0.135313479454229
"PC9",3,"IGKC",-0.13190100905632
"PC9",4,"DERL3",-0.130407211612369
"PC9",5,"IGHG4",-0.123923810937025
"PC9",6,"JCHAIN",-0.117123437902882
"PC9",7,"IGLL5",-0.110866834746412
"PC9",8,"IGKV1-5",-0.109623759579552
"PC9",9,"CD79A",-0.108024754301128
"PC9",10,"IGKV1-9",-0.106787588279033
"PC9",11,"IGKV3-11",-0.102422246598177
"PC9",12,"IGKV3-15",-0.0982301254517987
"PC9",13,"IGKV3-20",-0.0977664441491982
"PC9",14,"IGLV3-1",-0.0933357824123435
"PC9",15,"JSRP1",-0.0931323114351771
"PC9",16,"IGHG3",-0.0930576034133254
"PC9",17,"TNFRSF17",-0.0925664768020193
"PC9",18,"IGKV1-12",-0.0891472858145054
"PC9",19,"IGKV4-1",-0.0859114167860408
"PC9",20,"POU2AF1",-0.0826498858754852
"PC10",1,"APOD",-0.095689437079077
"PC10",2,"SEPP1",-0.0902312337502602
"PC10",3,"GPC3",-0.0890589097470026
"PC10",4,"CFD",-0.0859190986113089
"PC10",5,"IGF1",-0.0817173288946218
"PC10",6,"MMP11",0.0815218016865606
"PC10",7,"FIGF",-0.0807420675815124
"PC10",8,"SDC1",0.0791144953954641
"PC10",9,"CXCL12",-0.0783239150592247
"PC10",10,"ADH1B",-0.0765193405013393
"PC10",11,"MFAP4",-0.0765010348587664
"PC10",12,"SRPX",-0.0742439502211632
"PC10",13,"S100A16",0.0733473752377039
"PC10",14,"PTGDS",-0.0729496924544397
"PC10",15,"S100A14",0.071995385480906
"PC10",16,"ALDH1A1",-0.0715834378232427
"PC10",17,"ABCA8",-0.0712838110841595
"PC10",18,"TNXB",-0.0711488980032107
"PC10",19,"FXYD1",-0.0711329220466126
"PC10",20,"SCGB2A2",0.070538073917777
