"PC","StandardDeviation","Variance","VariancePercent"
1,9.91245611761784,98.2567862836994,14.7474977179683
2,8.85781777326867,78.4609357044344,11.7763109706221
3,7.85969025568918,61.7747309153754,9.27185528511166
4,7.37622273578431,54.4086618479013,8.16627173336269
5,5.80457521308328,33.6930934043408,5.05704325253554
6,5.49361190865614,30.1797718029286,4.52972392672617
7,4.79359901323485,22.9785914996861,3.44888875894332
8,4.54517127866919,20.6585819524393,3.10067529911268
9,4.22930392591458,17.8870116977565,2.68468646463046
10,3.75237444458441,14.0803139723702,2.11333390831911
11,3.59250134879168,12.90606594107,1.93708938804825
12,3.49898046513137,12.2428642953709,1.83754853060293
13,3.33278733680362,11.1074714323586,1.66713583658375
14,3.28720712472376,10.8057306808347,1.62184714749852
15,3.19616296100106,10.215457673275,1.53325225078747
16,3.10208024045515,9.62290181822231,1.44431471832098
17,3.06600660657681,9.40039651157263,1.41091858736493
18,3.02204386619398,9.13274912920067,1.37074701947593
19,2.97896119567906,8.87420980536164,1.33194249276046
20,2.9275960279116,8.57081850264378,1.28640607015079
21,2.79890670271257,7.83387873048934,1.17579775474397
22,2.67303825289996,7.14513350146645,1.07242302534921
23,2.56642121206493,6.58651783773683,0.988579623405572
24,2.55145802839349,6.50993807065357,0.977085659649807
25,2.45693192689073,6.03651449337499,0.906028856454662
26,2.36994880163334,5.6166573223633,0.843011909681239
27,2.33810693911512,5.46674405873829,0.820511219430494
28,2.3089514942378,5.33125700274295,0.800175778748196
29,2.30446543663935,5.31056094866539,0.797069479205703
30,2.25269459414101,5.07463293447213,0.761658715404882
31,2.21008793693929,4.88448868900458,0.733119701132413
32,2.11054901505308,4.45441714494151,0.66856966490061
33,2.08242851157795,4.33650850583277,0.650872593258514
34,2.05409870851572,4.21932150432597,0.633283833207811
35,2.03393915624566,4.13690849130932,0.620914349456483
36,2.00587739022301,4.02354410460787,0.603899330978762
37,1.9410346421227,3.7676154819204,0.565486648030345
38,1.90774008630689,3.63947223690221,0.546253450152059
39,1.88862703902376,3.56691209253164,0.535362797160104
40,1.85120525177975,3.42696088421692,0.514357325647033
41,1.83569713054926,3.3697839551068,0.505775560829921
42,1.80006503960472,3.24023414680715,0.486331249912342
43,1.75608976210264,3.08385125256169,0.462859523803214
44,1.73612721096742,3.01413769266153,0.452396118633716
45,1.73151228768201,2.99813480239378,0.449994222575127
46,1.71802792806836,2.95161996162287,0.443012745426666
47,1.68042905236844,2.82384180004388,0.423834343429563
48,1.67025166880946,2.7897406371608,0.418716052461382
49,1.64384719195684,2.70223359050439,0.405581998115809
50,1.63157148173474,2.66202550001009,0.399547109888379
