final_rank,pert_id,pert_iname,robust_rank,tier,positive_cell_lines,negative_cell_lines,median_score,mean_score,min_score,reproducibility_score,identity_confidence,chembl_id,pref_name,mechanisms,action_types,target_ids,mechanism_supported,mechanism_category,biological_evidence_class,final_evidence_score,final_priority
17,BRD-K97764662,PD-173074,18,Tier 2 — Strong 4/5+,5,1,0.17988423509591692,0.16723412379255292,-0.1762906081127784,0.17988423509591692,HIGH,NA,NA,NA,NA,NA,FALSE,OTHER / UNCLASSIFIED,STRONG_NO_MECHANISM,0.6969230769230769,PRIORITY_B
18,BRD-A87137733,GSK-690693,24,Tier 3 — Moderate 3/5+,3,2,0.23315353117419957,0.1121669847317898,-0.4384835452215593,0.13989211870451973,HIGH,CHEMBL494089,GSK-690693,Serine/threonine-protein kinase AKT inhibitor;cAMP-dependent protein kinase (PKA) inhibitor;Protein kinase C (PKC) inhibitor,INHIBITOR,CHEMBL2111353;CHEMBL2094138;CHEMBL2093867,TRUE,KINASE,STRONG_MECHANISM_SUPPORTED,0.6884615384615385,PRIORITY_B
19,BRD-K16189898,CHIR-99021,16,Tier 2 — Strong 4/5+,4,1,0.24668063112429697,0.20200228191406305,-0.08639319764752505,0.1973445048994376,REVIEW,NA,NA,NA,NA,NA,FALSE,OTHER / UNCLASSIFIED,SECONDARY_CANDIDATE,0.6823076923076924,PRIORITY_C
20,BRD-K52721289,XMD-1527,15,Tier 1 — Consistent 5/5,5,0,0.20579944492316693,0.2206632863910568,0.09359300651619716,0.20579944492316693,REVIEW,NA,NA,NA,NA,NA,FALSE,OTHER / UNCLASSIFIED,SECONDARY_CANDIDATE,0.6815384615384616,PRIORITY_C
21,BRD-K71035033,masitinib,26,Tier 1 — Consistent 5/5,5,0,0.13946666630596513,0.17278545467439288,0.11412024659652918,0.13946666630596513,HIGH,CHEMBL1908391,MASITINIB,Fibroblast growth factor receptor 3 inhibitor;Stem cell growth factor receptor inhibitor;Platelet-derived growth factor receptor inhibitor,INHIBITOR,CHEMBL2742;CHEMBL1936;CHEMBL2095189,TRUE,OTHER / UNCLASSIFIED,SECONDARY_CANDIDATE,0.6546153846153846,PRIORITY_C
22,BRD-K78431006,crizotinib,27,Tier 2 — Strong 4/5+,5,1,0.13492042977449473,0.11106378431792004,-0.06090518646771308,0.13492042977449473,HIGH,CHEMBL601719,CRIZOTINIB,Hepatocyte growth factor receptor inhibitor;ALK tyrosine kinase receptor inhibitor;EML4-ALK inhibitor;NPM/ALK (Nucleophosmin/ALK tyrosine kinase receptor) inhibitor;Proto-oncogene tyrosine-protein kinase ROS inhibitor;Macrophage-stimulating protein receptor inhibitor,INHIBITOR,CHEMBL3717;CHEMBL4247;CHEMBL3883330;CHEMBL2111387;CHEMBL5568;CHEMBL2689,TRUE,KINASE,SECONDARY_CANDIDATE,0.6430769230769231,PRIORITY_C
23,BRD-K42728290,NVP-BGJ398,22,Tier 1 — Consistent 5/5,5,0,0.15330785929646512,0.1640520934920849,0.00498461383961999,0.15330785929646512,REVIEW,CHEMBL1852688,INFIGRATINIB,Fibroblast growth factor receptor inhibitor,INHIBITOR,CHEMBL2095217,TRUE,OTHER / UNCLASSIFIED,SECONDARY_CANDIDATE,0.6353846153846154,PRIORITY_C
24,BRD-K86274953,XMD-132,19,Tier 2 — Strong 4/5+,4,1,0.20926536363049497,0.22104587971228631,-0.01463285784377475,0.167412290904396,REVIEW,NA,NA,NA,NA,NA,FALSE,OTHER / UNCLASSIFIED,SECONDARY_CANDIDATE,0.6323076923076923,PRIORITY_C
25,BRD-K07667918,linsitinib,29,Tier 3 — Moderate 3/5+,3,2,0.197197354979618,0.15823400096692825,-0.1252240473035385,0.1183184129877708,HIGH,CHEMBL1091644,LINSITINIB,Insulin-like growth factor I receptor inhibitor;Insulin receptor inhibitor,INHIBITOR,CHEMBL1957;CHEMBL1981,TRUE,OTHER / UNCLASSIFIED,SECONDARY_CANDIDATE,0.6307692307692309,PRIORITY_C
26,BRD-K04801023,SAR-245408,25,Tier 2 — Strong 4/5+,4,1,0.1747746084279201,0.12970655123071032,-0.03971941281802112,0.13981968674233608,REVIEW,CHEMBL3360203,PILARALISIB,PI3-kinase class I inhibitor,INHIBITOR,CHEMBL3559703,TRUE,KINASE,SECONDARY_CANDIDATE,0.6207692307692309,PRIORITY_C
27,BRD-K04833372,GSK-1904529A,20,Tier 2 — Strong 4/5+,5,1,0.1620425818232706,0.15179970431985823,-0.1015484279337557,0.1620425818232706,REVIEW,NA,NA,NA,NA,NA,FALSE,OTHER / UNCLASSIFIED,SECONDARY_CANDIDATE,0.6084615384615385,PRIORITY_C
28,BRD-K29983336,rondual-kinase-inhibitor,23,Tier 3 — Moderate 3/5+,3,2,0.2345101254575288,0.11459263872596416,-0.2796226676413366,0.14070607527451728,REVIEW,NA,NA,NA,NA,NA,FALSE,OTHER / UNCLASSIFIED,SECONDARY_CANDIDATE,0.6000000000000001,PRIORITY_C
29,BRD-K99749624,linifanib,30,Tier 2 — Strong 4/5+,4,1,0.13390454862473586,0.1568300471631121,-0.0782509484906955,0.1071236388997887,HIGH,CHEMBL223360,LINIFANIB,Macrophage colony stimulating factor receptor inhibitor;Tyrosine-protein kinase receptor FLT3 inhibitor;Platelet-derived growth factor receptor inhibitor;Vascular endothelial growth factor receptor inhibitor,INHIBITOR,CHEMBL1844;CHEMBL1974;CHEMBL2095189;CHEMBL2095227,TRUE,KINASE,SECONDARY_CANDIDATE,0.5823076923076923,PRIORITY_C
30,BRD-K55187425,ON-01910,28,Tier 3 — Moderate 3/5+,3,2,0.2020918862282824,0.15596863797568597,-0.08113528733171052,0.12125513173696945,REVIEW,NA,NA,NA,NA,NA,FALSE,OTHER / UNCLASSIFIED,SECONDARY_CANDIDATE,0.5423076923076924,PRIORITY_C
31,BRD-K81528515,nilotinib,31,Tier 2 — Strong 4/5+,4,1,0.13239231519449188,0.07379191306399933,-0.34442146498077236,0.10591385215559351,HIGH,NA,NA,NA,NA,NA,FALSE,OTHER / UNCLASSIFIED,SECONDARY_CANDIDATE,0.5207692307692308,PRIORITY_C
32,BRD-K19477839,SGX523,34,Tier 2 — Strong 4/5+,4,1,0.1276573741017118,0.13429994780697188,-0.00399906952813449,0.10212589928136943,REVIEW,CHEMBL1236107,SGX-523,Hepatocyte growth factor receptor inhibitor,INHIBITOR,CHEMBL3717,TRUE,OTHER / UNCLASSIFIED,SECONDARY_CANDIDATE,0.4938461538461538,PRIORITY_C
33,BRD-K93747373,HG-5-113-01,33,Tier 3 — Moderate 3/5+,3,2,0.17116155940126684,0.02758270199611786,-0.2633025837456575,0.1026969356407601,REVIEW,NA,NA,NA,NA,NA,FALSE,OTHER / UNCLASSIFIED,SECONDARY_CANDIDATE,0.4923076923076923,PRIORITY_C
34,BRD-K01253243,SB-590885,35,Tier 3 — Moderate 3/5+,3,2,0.16589710135076496,0.1848251414200652,-0.1613868122335157,0.09953826081045898,REVIEW,NA,NA,NA,NA,NA,FALSE,OTHER / UNCLASSIFIED,SECONDARY_CANDIDATE,0.47692307692307695,PRIORITY_C
35,BRD-K49075727,nintedanib,37,Tier 2 — Strong 4/5+,4,1,0.12301843169954484,0.02935982938973024,-0.3724239574427016,0.09841474535963587,HIGH,NA,NA,NA,NA,NA,FALSE,OTHER / UNCLASSIFIED,SECONDARY_CANDIDATE,0.4669230769230769,PRIORITY_C
36,BRD-K66847579,WZ-7043,32,Tier 2 — Strong 4/5+,4,1,0.12943157325617413,0.11854551438926748,-0.2046814967603897,0.10354525860493932,REVIEW,NA,NA,NA,NA,NA,FALSE,OTHER / UNCLASSIFIED,SECONDARY_CANDIDATE,0.4592307692307693,PRIORITY_C
37,BRD-K53414658,tivozanib,43,Tier 3 — Moderate 3/5+,3,2,0.12065486529796378,0.0492281777600642,-0.3415970810206368,0.07239291917877827,HIGH,CHEMBL1289494,TIVOZANIB,Vascular endothelial growth factor receptor inhibitor,INHIBITOR,CHEMBL2095227,TRUE,ANGIOGENESIS,SECONDARY_CANDIDATE,0.4461538461538462,PRIORITY_C
38,BRD-K92428232,GSK-461364,42,Tier 2 — Strong 4/5+,4,1,0.09101742249842062,0.08263635370175862,-0.116761891153011,0.0728139379987365,HIGH,CHEMBL1908394,GSK-461364,Serine/threonine-protein kinase PLK1 inhibitor,INHIBITOR,CHEMBL3024,TRUE,KINASE,SECONDARY_CANDIDATE,0.43615384615384617,PRIORITY_C
39,BRD-K49468759,KIN001-266,39,Tier 3 — Moderate 3/5+,3,2,0.15063542151802806,0.08733376785820672,-0.10683428556373842,0.09038125291081683,REVIEW,NA,NA,NA,NA,NA,FALSE,OTHER / UNCLASSIFIED,SECONDARY_CANDIDATE,0.4307692307692308,PRIORITY_C
40,BRD-K68756823,FR-180204,36,Tier 2 — Strong 4/5+,4,2,0.12373427484623808,0.10669197908079532,-0.14505625173494974,0.09898741987699047,REVIEW,NA,NA,NA,NA,NA,FALSE,OTHER / UNCLASSIFIED,SECONDARY_CANDIDATE,0.4284615384615385,PRIORITY_C
41,BRD-K01567962,pyrazolanthrone,38,Tier 2 — Strong 4/5+,4,1,0.1133638234296136,0.08122464170686527,-0.15223641701630858,0.09069105874369088,REVIEW,NA,NA,NA,NA,NA,FALSE,OTHER / UNCLASSIFIED,EXPLORATORY,0.39769230769230773,EXPLORATORY
42,BRD-K67578145,GDC-0879,40,Tier 2 — Strong 4/5+,4,1,0.09837041265814288,0.08208564179771549,-0.5057857178034202,0.07869633012651431,REVIEW,NA,NA,NA,NA,NA,FALSE,OTHER / UNCLASSIFIED,EXPLORATORY,0.37461538461538463,EXPLORATORY
43,BRD-K04853698,LDN-193189,41,Tier 2 — Strong 4/5+,4,2,0.09703843040730586,0.14391035453126583,-0.06078101993556446,0.0776307443258447,REVIEW,NA,NA,NA,NA,NA,FALSE,OTHER / UNCLASSIFIED,EXPLORATORY,0.36307692307692313,EXPLORATORY
44,BRD-K92723993,imatinib,44,Tier 2 — Strong 4/5+,4,2,0.08561592729611817,0.16030501726009616,-0.1603561894153253,0.06849274183689454,HIGH,NA,NA,NA,NA,NA,FALSE,OTHER / UNCLASSIFIED,EXPLORATORY,0.3630769230769231,EXPLORATORY
45,BRD-K02123250,JNJ-38877605,52,Tier 3 — Moderate 3/5+,3,2,0.08672939841674482,0.07927317344628426,-0.2119330014535452,0.05203763905004689,HIGH,CHEMBL2133806,JNJ-38877605,Hepatocyte growth factor receptor inhibitor,INHIBITOR,CHEMBL3717,TRUE,OTHER / UNCLASSIFIED,EXPLORATORY,0.35000000000000003,EXPLORATORY
46,BRD-K59184148,SB-216763,46,Tier 2 — Strong 4/5+,4,1,0.08323343431350619,0.12969941185632491,-0.2708959975955597,0.06658674745080495,HIGH,NA,NA,NA,NA,NA,FALSE,OTHER / UNCLASSIFIED,EXPLORATORY,0.34,EXPLORATORY
47,BRD-K70511574,HMN-214,53,Tier 3 — Moderate 3/5+,3,2,0.0672642331415868,0.01475758824873412,-0.37246086919955,0.04035853988495208,HIGH,CHEMBL3991927,HMN-214,Serine/threonine-protein kinase PLK1 inhibitor,INHIBITOR,CHEMBL3024,TRUE,KINASE,EXPLORATORY,0.31538461538461543,EXPLORATORY
48,BRD-K82091397,SB-239063,47,Tier 3 — Moderate 3/5+,3,2,0.09861347452763648,0.10705311676224635,-0.19444144504398883,0.05916808471658188,REVIEW,NA,NA,NA,NA,NA,FALSE,OTHER / UNCLASSIFIED,EXPLORATORY,0.3153846153846154,EXPLORATORY
49,BRD-K09991945,GSK-3-inhibitor-II,45,Tier 2 — Strong 4/5+,4,1,0.0837003236174271,0.1154558059328921,-0.12125910732312,0.06696025889394168,REVIEW,NA,NA,NA,NA,NA,FALSE,OTHER / UNCLASSIFIED,EXPLORATORY,0.3015384615384616,EXPLORATORY
50,BRD-K53972329,ruxolitinib,51,Tier 2 — Strong 4/5+,4,2,0.06582477574474717,0.04812639418024084,-0.07788599887074506,0.05265982059579774,HIGH,NA,NA,NA,NA,NA,FALSE,OTHER / UNCLASSIFIED,EXPLORATORY,0.2976923076923077,EXPLORATORY
51,BRD-K15592317,CP-466722,48,Tier 3 — Moderate 3/5+,3,2,0.0961921223794742,0.05870758496730335,-0.2062941988881643,0.05771527342768452,REVIEW,NA,NA,NA,NA,NA,FALSE,OTHER / UNCLASSIFIED,EXPLORATORY,0.2884615384615385,EXPLORATORY
52,BRD-K05870596,XMD-1499,49,Tier 3 — Moderate 3/5+,3,2,0.09417920250047272,0.0481247058494131,-0.1580482709097627,0.05650752150028363,REVIEW,NA,NA,NA,NA,NA,FALSE,OTHER / UNCLASSIFIED,EXPLORATORY,0.27692307692307694,EXPLORATORY
53,BRD-A35869383,ibrutinib,56,Tier 3 — Moderate 3/5+,3,2,0.05138423362677108,-0.08794103435084605,-0.6337210106469389,0.03083054017606264,HIGH,CHEMBL1873475,IBRUTINIB,Tyrosine-protein kinase BTK inhibitor,INHIBITOR,CHEMBL5251,TRUE,KINASE,EXPLORATORY,0.2730769230769231,EXPLORATORY
54,BRD-A37704979,SB-203580,54,Tier 2 — Strong 4/5+,4,2,0.04788495595599945,4.259578950083221e-4,-0.6475470216388628,0.03830796476479956,HIGH,NA,NA,NA,NA,NA,FALSE,OTHER / UNCLASSIFIED,EXPLORATORY,0.2630769230769231,EXPLORATORY
55,BRD-K59067695,SU-11274,50,Tier 2 — Strong 4/5+,4,1,0.06601856418622658,0.00506828875451109,-0.3463464115535679,0.05281485134898126,REVIEW,NA,NA,NA,NA,NA,FALSE,OTHER / UNCLASSIFIED,EXPLORATORY,0.25923076923076926,EXPLORATORY
56,BRD-K02113016,olaparib,58,Tier 2 — Strong 4/5+,4,1,0.03405585483832996,0.09571013627678764,-0.11386342124356308,0.02724468387066396,HIGH,CHEMBL521686,OLAPARIB,"PARP 1, 2 and 3 inhibitor",INHIBITOR,CHEMBL3390820,TRUE,DNA_DAMAGE_RESPONSE,EXPLORATORY,0.25923076923076926,EXPLORATORY
