final_rank,pert_id,pert_iname,robust_rank,tier,cell_lines_tested,positive_cell_lines,negative_cell_lines,median_score,mean_score,min_score,max_score,reproducibility_score,positive_fraction,chembl_id,pref_name,max_phase,identity_confidence,mechanism_status_corrected,mechanism_record_count,unique_targets,target_chembl_ids,mechanisms,action_types,connectivity_score_norm,reproducibility_norm,positive_fraction_norm,identity_score,mechanism_score,final_evidence_score,final_priority,chembl_id_annotation,pref_name_annotation,max_phase_annotation,match_status,target_chembl_id,mechanism_of_action,action_type
18,BRD-A87137733,GSK-690693,24,Tier 3 — Moderate 3/5+,5,3,2,0.23315353117419957,0.1121669847317898,-0.4384835452215593,0.5516076289981013,0.13989211870451973,0.6,CHEMBL494089,GSK-690693,1,HIGH,annotated,3,3,CHEMBL2111353;CHEMBL2094138;CHEMBL2093867,Serine/threonine-protein kinase AKT inhibitor | cAMP-dependent protein kinase (PKA) inhibitor | Protein kinase C (PKC) inhibitor,INHIBITOR,0.7538461538461538,0.6461538461538462,0,1,1,0.6884615384615385,PRIORITY_B,CHEMBL494089,GSK-690693,1,exact_name_match,CHEMBL2111353;CHEMBL2094138;CHEMBL2093867,Serine/threonine-protein kinase AKT inhibitor;cAMP-dependent protein kinase (PKA) inhibitor;Protein kinase C (PKC) inhibitor,INHIBITOR
21,BRD-K71035033,masitinib,26,Tier 1 — Consistent 5/5,5,5,0,0.13946666630596513,0.17278545467439288,0.11412024659652918,0.36861141382912666,0.13946666630596513,1,CHEMBL1908391,MASITINIB,3,HIGH,annotated,3,3,CHEMBL2742;CHEMBL1936;CHEMBL2095189,Fibroblast growth factor receptor 3 inhibitor | Stem cell growth factor receptor inhibitor | Platelet-derived growth factor receptor inhibitor,INHIBITOR,0.5384615384615384,0.6153846153846154,0.8153846153846154,1,1,0.6546153846153846,PRIORITY_C,CHEMBL1908391,MASITINIB,3,exact_name_match,CHEMBL2742;CHEMBL1936;CHEMBL2095189,Fibroblast growth factor receptor 3 inhibitor;Stem cell growth factor receptor inhibitor;Platelet-derived growth factor receptor inhibitor,INHIBITOR
22,BRD-K78431006,crizotinib,27,Tier 2 — Strong 4/5+,5,5,1,0.13492042977449473,0.11106378431792004,-0.06090518646771308,0.28377631722584534,0.13492042977449473,1,CHEMBL601719,CRIZOTINIB,4,HIGH,annotated,6,6,CHEMBL3717;CHEMBL4247;CHEMBL3883330;CHEMBL2111387;CHEMBL5568;CHEMBL2689,Hepatocyte growth factor receptor inhibitor | ALK tyrosine kinase receptor inhibitor | EML4-ALK inhibitor | NPM/ALK (Nucleophosmin/ALK tyrosine kinase receptor) inhibitor | Proto-oncogene tyrosine-protein kinase ROS inhibitor | Macrophage-stimulating protein receptor inhibitor,INHIBITOR,0.5230769230769231,0.6,0.8153846153846154,1,1,0.6430769230769231,PRIORITY_C,CHEMBL601719,CRIZOTINIB,4,exact_name_match,CHEMBL3717;CHEMBL4247;CHEMBL3883330;CHEMBL2111387;CHEMBL5568;CHEMBL2689,Hepatocyte growth factor receptor inhibitor;ALK tyrosine kinase receptor inhibitor;EML4-ALK inhibitor;NPM/ALK (Nucleophosmin/ALK tyrosine kinase receptor) inhibitor;Proto-oncogene tyrosine-protein kinase ROS inhibitor;Macrophage-stimulating protein receptor inhibitor,INHIBITOR
25,BRD-K07667918,linsitinib,29,Tier 3 — Moderate 3/5+,5,3,2,0.197197354979618,0.15823400096692825,-0.1252240473035385,0.4977245923714533,0.1183184129877708,0.6,CHEMBL1091644,LINSITINIB,3,HIGH,annotated,2,2,CHEMBL1957;CHEMBL1981,Insulin-like growth factor I receptor inhibitor | Insulin receptor inhibitor,INHIBITOR,0.676923076923077,0.5692307692307692,0,1,1,0.6307692307692309,PRIORITY_C,CHEMBL1091644,LINSITINIB,3,exact_name_match,CHEMBL1957;CHEMBL1981,Insulin-like growth factor I receptor inhibitor;Insulin receptor inhibitor,INHIBITOR
29,BRD-K99749624,linifanib,30,Tier 2 — Strong 4/5+,5,4,1,0.13390454862473586,0.1568300471631121,-0.0782509484906955,0.4881620978637856,0.1071236388997887,0.8,CHEMBL223360,LINIFANIB,3,HIGH,annotated,4,4,CHEMBL1844;CHEMBL1974;CHEMBL2095189;CHEMBL2095227,Macrophage colony stimulating factor receptor inhibitor | Tyrosine-protein kinase receptor FLT3 inhibitor | Platelet-derived growth factor receptor inhibitor | Vascular endothelial growth factor receptor inhibitor,INHIBITOR,0.5076923076923077,0.5538461538461539,0.4,1,1,0.5823076923076923,PRIORITY_C,CHEMBL223360,LINIFANIB,3,exact_name_match,CHEMBL1844;CHEMBL1974;CHEMBL2095189;CHEMBL2095227,Macrophage colony stimulating factor receptor inhibitor;Tyrosine-protein kinase receptor FLT3 inhibitor;Platelet-derived growth factor receptor inhibitor;Vascular endothelial growth factor receptor inhibitor,INHIBITOR
31,BRD-K81528515,nilotinib,31,Tier 2 — Strong 4/5+,5,4,1,0.13239231519449188,0.07379191306399933,-0.34442146498077236,0.36530301994428904,0.10591385215559351,0.8,CHEMBL255863,NILOTINIB,4,HIGH,no_mechanism_record,0,0,NA,NA,NA,0.49230769230769234,0.5384615384615384,0.4,1,0,0.5207692307692308,PRIORITY_C,CHEMBL255863,NILOTINIB,4,exact_name_match,,,
35,BRD-K49075727,nintedanib,37,Tier 2 — Strong 4/5+,5,4,1,0.12301843169954484,0.02935982938973024,-0.3724239574427016,0.1790423313020623,0.09841474535963587,0.8,CHEMBL502835,NINTEDANIB,4,HIGH,no_mechanism_record,0,0,NA,NA,NA,0.4307692307692308,0.4461538461538462,0.4,1,0,0.4669230769230769,PRIORITY_C,CHEMBL502835,NINTEDANIB,4,exact_name_match,,,
37,BRD-K53414658,tivozanib,43,Tier 3 — Moderate 3/5+,5,3,2,0.12065486529796378,0.0492281777600642,-0.3415970810206368,0.3648998985245189,0.07239291917877827,0.6,CHEMBL1289494,TIVOZANIB,4,HIGH,annotated,1,1,CHEMBL2095227,Vascular endothelial growth factor receptor inhibitor,INHIBITOR,0.4153846153846154,0.35384615384615387,0,1,1,0.4461538461538462,PRIORITY_C,CHEMBL1289494,TIVOZANIB,4,exact_name_match,CHEMBL2095227,Vascular endothelial growth factor receptor inhibitor,INHIBITOR
38,BRD-K92428232,GSK-461364,42,Tier 2 — Strong 4/5+,5,4,1,0.09101742249842062,0.08263635370175862,-0.116761891153011,0.3114346627085606,0.0728139379987365,0.8,CHEMBL1908394,GSK-461364,1,HIGH,annotated,1,1,CHEMBL3024,Serine/threonine-protein kinase PLK1 inhibitor,INHIBITOR,0.3076923076923077,0.3692307692307693,0.4,1,1,0.43615384615384617,PRIORITY_C,CHEMBL1908394,GSK-461364,1,exact_name_match,CHEMBL3024,Serine/threonine-protein kinase PLK1 inhibitor,INHIBITOR
44,BRD-K92723993,imatinib,44,Tier 2 — Strong 4/5+,5,4,2,0.08561592729611817,0.16030501726009616,-0.1603561894153253,0.510241043882304,0.06849274183689454,0.8,CHEMBL941,IMATINIB,4,HIGH,no_mechanism_record,0,0,NA,NA,NA,0.27692307692307694,0.3384615384615385,0.4,1,0,0.3630769230769231,EXPLORATORY,CHEMBL941,IMATINIB,4,exact_name_match,,,
