final_rank,pert_id,pert_iname,robust_rank,tier,cell_lines_tested,positive_cell_lines,negative_cell_lines,median_score,mean_score,min_score,max_score,reproducibility_score,positive_fraction,chembl_id,pref_name,max_phase,identity_confidence,mechanism_status_corrected,mechanism_record_count,unique_targets,target_chembl_ids,mechanisms,action_types,connectivity_score_norm,reproducibility_norm,positive_fraction_norm,identity_score,mechanism_score,final_evidence_score,final_priority,chembl_id_annotation,pref_name_annotation,max_phase_annotation,match_status,target_chembl_id,mechanism_of_action,action_type
24,BRD-K86274953,XMD-132,19,Tier 2 — Strong 4/5+,5,4,1,0.20926536363049497,0.22104587971228631,-0.01463285784377475,0.5139142838977784,0.167412290904396,0.8,CHEMBL5303523,NA,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,0.7230769230769231,0.7230769230769231,0.4,0.5,0,0.6323076923076923,PRIORITY_C,CHEMBL5303523,NA,NA,search_match_requires_review,,,
27,BRD-K04833372,GSK-1904529A,20,Tier 2 — Strong 4/5+,5,5,1,0.1620425818232706,0.15179970431985823,-0.1015484279337557,0.3488406575844655,0.1620425818232706,1,CHEMBL4303308,NA,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,0.6,0.7076923076923077,0.8153846153846154,0.5,0,0.6084615384615385,PRIORITY_C,CHEMBL4303308,NA,NA,search_match_requires_review,,,
28,BRD-K29983336,rondual-kinase-inhibitor,23,Tier 3 — Moderate 3/5+,5,3,2,0.2345101254575288,0.11459263872596416,-0.2796226676413366,0.3907727236128973,0.14070607527451728,0.6,CHEMBL4536936,NA,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,0.7692307692307693,0.6615384615384615,0,0.5,0,0.6000000000000001,PRIORITY_C,CHEMBL4536936,NA,NA,search_match_requires_review,,,
30,BRD-K55187425,ON-01910,28,Tier 3 — Moderate 3/5+,5,3,2,0.2020918862282824,0.15596863797568597,-0.08113528733171052,0.3846344183268796,0.12125513173696945,0.6,CHEMBL2013119,RIGOSERTIB SODIUM,3,REVIEW,no_mechanism_record,0,0,NA,NA,NA,0.6923076923076923,0.5846153846153846,0,0.5,0,0.5423076923076924,PRIORITY_C,CHEMBL2013119,RIGOSERTIB SODIUM,3,search_match_requires_review,,,
31,BRD-K81528515,nilotinib,31,Tier 2 — Strong 4/5+,5,4,1,0.13239231519449188,0.07379191306399933,-0.34442146498077236,0.36530301994428904,0.10591385215559351,0.8,CHEMBL255863,NILOTINIB,4,HIGH,no_mechanism_record,0,0,NA,NA,NA,0.49230769230769234,0.5384615384615384,0.4,1,0,0.5207692307692308,PRIORITY_C,CHEMBL255863,NILOTINIB,4,exact_name_match,,,
33,BRD-K93747373,HG-5-113-01,33,Tier 3 — Moderate 3/5+,5,3,2,0.17116155940126684,0.02758270199611786,-0.2633025837456575,0.3014320500994697,0.1026969356407601,0.6,CHEMBL2170016,NA,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,0.6307692307692307,0.5076923076923077,0,0.5,0,0.4923076923076923,PRIORITY_C,CHEMBL2170016,NA,NA,search_match_requires_review,,,
34,BRD-K01253243,SB-590885,35,Tier 3 — Moderate 3/5+,5,3,2,0.16589710135076496,0.1848251414200652,-0.1613868122335157,0.5818608826440771,0.09953826081045898,0.6,CHEMBL1909414,NA,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,0.6153846153846154,0.47692307692307695,0,0.5,0,0.47692307692307695,PRIORITY_C,CHEMBL1909414,NA,NA,search_match_requires_review,,,
35,BRD-K49075727,nintedanib,37,Tier 2 — Strong 4/5+,5,4,1,0.12301843169954484,0.02935982938973024,-0.3724239574427016,0.1790423313020623,0.09841474535963587,0.8,CHEMBL502835,NINTEDANIB,4,HIGH,no_mechanism_record,0,0,NA,NA,NA,0.4307692307692308,0.4461538461538462,0.4,1,0,0.4669230769230769,PRIORITY_C,CHEMBL502835,NINTEDANIB,4,exact_name_match,,,
36,BRD-K66847579,WZ-7043,32,Tier 2 — Strong 4/5+,5,4,1,0.12943157325617413,0.11854551438926748,-0.2046814967603897,0.4065102696827575,0.10354525860493932,0.8,CHEMBL237830,NA,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,0.47692307692307695,0.5230769230769231,0.4,0.5,0,0.4592307692307693,PRIORITY_C,CHEMBL237830,NA,NA,search_match_requires_review,,,
39,BRD-K49468759,KIN001-266,39,Tier 3 — Moderate 3/5+,5,3,2,0.15063542151802806,0.08733376785820672,-0.10683428556373842,0.2529106558776021,0.09038125291081683,0.6,CHEMBL3663550,NA,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,0.5538461538461539,0.4153846153846154,0,0.5,0,0.4307692307692308,PRIORITY_C,CHEMBL3663550,NA,NA,search_match_requires_review,,,
40,BRD-K68756823,FR-180204,36,Tier 2 — Strong 4/5+,5,4,2,0.12373427484623808,0.10669197908079532,-0.14505625173494974,0.2912857582739108,0.09898741987699047,0.8,CHEMBL259551,NA,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,0.4461538461538462,0.4615384615384616,0.4,0.5,0,0.4284615384615385,PRIORITY_C,CHEMBL259551,NA,NA,search_match_requires_review,,,
41,BRD-K01567962,pyrazolanthrone,38,Tier 2 — Strong 4/5+,5,4,1,0.1133638234296136,0.08122464170686527,-0.15223641701630858,0.19868372791432945,0.09069105874369088,0.8,CHEMBL7064,NA,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,0.4,0.4307692307692308,0.4,0.5,0,0.39769230769230773,EXPLORATORY,CHEMBL7064,NA,NA,search_match_requires_review,,,
42,BRD-K67578145,GDC-0879,40,Tier 2 — Strong 4/5+,5,4,1,0.09837041265814288,0.08208564179771549,-0.5057857178034202,0.4647275061539092,0.07869633012651431,0.8,CHEMBL2139930,NA,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,0.3692307692307693,0.4,0.4,0.5,0,0.37461538461538463,EXPLORATORY,CHEMBL2139930,NA,NA,search_match_requires_review,,,
43,BRD-K04853698,LDN-193189,41,Tier 2 — Strong 4/5+,5,4,2,0.09703843040730586,0.14391035453126583,-0.06078101993556446,0.40572254958910114,0.0776307443258447,0.8,CHEMBL5303350,NA,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,0.35384615384615387,0.38461538461538464,0.4,0.5,0,0.36307692307692313,EXPLORATORY,CHEMBL5303350,NA,NA,search_match_requires_review,,,
44,BRD-K92723993,imatinib,44,Tier 2 — Strong 4/5+,5,4,2,0.08561592729611817,0.16030501726009616,-0.1603561894153253,0.510241043882304,0.06849274183689454,0.8,CHEMBL941,IMATINIB,4,HIGH,no_mechanism_record,0,0,NA,NA,NA,0.27692307692307694,0.3384615384615385,0.4,1,0,0.3630769230769231,EXPLORATORY,CHEMBL941,IMATINIB,4,exact_name_match,,,
46,BRD-K59184148,SB-216763,46,Tier 2 — Strong 4/5+,5,4,1,0.08323343431350619,0.12969941185632491,-0.2708959975955597,0.4407212195264071,0.06658674745080495,0.8,CHEMBL102714,SB-216763,NA,HIGH,no_mechanism_record,0,0,NA,NA,NA,0.24615384615384617,0.3076923076923077,0.4,1,0,0.34,EXPLORATORY,CHEMBL102714,SB-216763,NA,exact_name_match,,,
