pert_id,pert_iname,cell_lines_tested.x,median_cellline_score,mean_cellline_score,best_cellline_score,worst_cellline_score,compound_rank,cell_lines_tested.y,positive_cell_lines,negative_cell_lines,consistent_reversal,robust_rank
BRD-K42095107,daidzein,1,0.5357743001844215,0.5357743001844215,0.5357743001844215,0.5357743001844215,45,1,1,0,TRUE,45
BRD-K16406336,methylene-blue,1,0.5343113660945371,0.5343113660945371,0.5343113660945371,0.5343113660945371,46,1,1,0,TRUE,46
BRD-K31754360,BRD-K31754360,1,0.5338552408929348,0.5338552408929348,0.5338552408929348,0.5338552408929348,47,1,1,0,TRUE,47
BRD-A25088322,CVF-SUMO-7,1,0.5337302158852878,0.5337302158852878,0.5337302158852878,0.5337302158852878,48,1,1,0,TRUE,48
BRD-K61359235,BRD-K61359235,1,0.5312166797450212,0.5312166797450212,0.5312166797450212,0.5312166797450212,49,1,1,0,TRUE,49
BRD-K97514127,vinorelbine,1,0.5306903813079655,0.5306903813079655,0.5306903813079655,0.5306903813079655,50,1,1,0,TRUE,50
BRD-K41652870,BRD-K41652870,1,0.5300901983593669,0.5300901983593669,0.5300901983593669,0.5300901983593669,51,1,1,0,TRUE,51
BRD-K57238941,BRD-K57238941,1,0.528060983887205,0.528060983887205,0.528060983887205,0.528060983887205,52,1,1,0,TRUE,52
BRD-K16798053,ST-4029573,1,0.5263379338923528,0.5263379338923528,0.5263379338923528,0.5263379338923528,53,1,1,0,TRUE,53
BRD-K12516989,zaprinast,1,0.5259801440886411,0.5259801440886411,0.5259801440886411,0.5259801440886411,54,1,1,0,TRUE,54
BRD-A01295252,7-hydroxy-PIPAT,1,0.5255362421461947,0.5255362421461947,0.5255362421461947,0.5255362421461947,55,1,1,0,TRUE,55
BRD-K01834163,BRD-K01834163,1,0.5232746400862774,0.5232746400862774,0.5232746400862774,0.5232746400862774,56,1,1,0,TRUE,56
BRD-K58679021,BRD-K58679021,1,0.5229334525576136,0.5229334525576136,0.5229334525576136,0.5229334525576136,57,1,1,0,TRUE,57
BRD-U73238814,QL-XI-92,1,0.5223972238220315,0.5223972238220315,0.5223972238220315,0.5223972238220315,58,1,1,0,TRUE,58
BRD-K10916986,vinorelbine,1,0.5213643357640445,0.5213643357640445,0.5213643357640445,0.5213643357640445,59,1,1,0,TRUE,59
BRD-A60414806,vincristine,1,0.5178133631074746,0.5178133631074746,0.5178133631074746,0.5178133631074746,60,1,1,0,TRUE,60
BRD-A59431241,COL-3,1,0.5163214523938956,0.5163214523938956,0.5163214523938956,0.5163214523938956,61,1,1,0,TRUE,61
BRD-A37959677,estrone,1,0.5161333527456209,0.5161333527456209,0.5161333527456209,0.5161333527456209,62,1,1,0,TRUE,62
BRD-K12539581,nocodazole,1,0.5149625998588021,0.5149625998588021,0.5149625998588021,0.5149625998588021,63,1,1,0,TRUE,63
BRD-A15010982,HU-211,1,0.5149313098600895,0.5149313098600895,0.5149313098600895,0.5149313098600895,64,1,1,0,TRUE,64
BRD-K66032149,VU-0365117-1,1,0.5135580661190101,0.5135580661190101,0.5135580661190101,0.5135580661190101,65,1,1,0,TRUE,65
BRD-A81795050,U-18666A,1,0.5097220129088283,0.5097220129088283,0.5097220129088283,0.5097220129088283,66,1,1,0,TRUE,66
BRD-K66874953,pifithrin-alpha,1,0.5096353615469458,0.5096353615469458,0.5096353615469458,0.5096353615469458,67,1,1,0,TRUE,67
BRD-K32828673,chelidonine,1,0.5093053978772027,0.5093053978772027,0.5093053978772027,0.5093053978772027,68,1,1,0,TRUE,68
BRD-K25079130,avrainvillamide-analog-4,1,0.5089249270111521,0.5089249270111521,0.5089249270111521,0.5089249270111521,69,1,1,0,TRUE,69
BRD-K32885145,BRD-K32885145,1,0.5084037345677266,0.5084037345677266,0.5084037345677266,0.5084037345677266,70,1,1,0,TRUE,70
BRD-K63792901,arecaidine-but-2-ynyl-ester,1,0.5078769813666407,0.5078769813666407,0.5078769813666407,0.5078769813666407,71,1,1,0,TRUE,71
BRD-K93127801,BRD-K93127801,1,0.5075202396550745,0.5075202396550745,0.5075202396550745,0.5075202396550745,72,1,1,0,TRUE,72
BRD-K81795824,BRD-K81795824,1,0.5056324314731506,0.5056324314731506,0.5056324314731506,0.5056324314731506,73,1,1,0,TRUE,73
BRD-K78385490,BRD-K78385490,1,0.504554649323321,0.504554649323321,0.504554649323321,0.504554649323321,74,1,1,0,TRUE,74
BRD-K30296925,flavokavain-b,1,0.5013423880308485,0.5013423880308485,0.5013423880308485,0.5013423880308485,75,1,1,0,TRUE,75
BRD-K00555438,BRD-K00555438,1,0.4998945876387231,0.4998945876387231,0.4998945876387231,0.4998945876387231,76,1,1,0,TRUE,76
BRD-K30267135,BRD-K30267135,1,0.49959901773931126,0.49959901773931126,0.49959901773931126,0.49959901773931126,77,1,1,0,TRUE,77
BRD-K51816706,oxindole-I,1,0.4992525681019276,0.4992525681019276,0.4992525681019276,0.4992525681019276,78,1,1,0,TRUE,78
BRD-K80169513,BRD-K80169513,1,0.4991167136895328,0.4991167136895328,0.4991167136895328,0.4991167136895328,79,1,1,0,TRUE,79
BRD-K71935468,BRD-K71935468,1,0.4979320852296375,0.4979320852296375,0.4979320852296375,0.4979320852296375,80,1,1,0,TRUE,80
