final_rank,pert_id,pert_iname,robust_rank,tier,cell_lines_tested,positive_cell_lines,negative_cell_lines,median_score,mean_score,min_score,max_score,reproducibility_score,positive_fraction,chembl_id,pref_name,max_phase,identity_confidence,mechanism_status_corrected,mechanism_record_count,unique_targets,target_chembl_ids,mechanisms,action_types,connectivity_score_norm,reproducibility_norm,positive_fraction_norm,identity_score,mechanism_score,final_evidence_score,final_priority
11,BRD-K22096725,ALW-II-49-7,5,Tier 2 — Strong 4/5+,5,4,1,0.3282946220983697,0.24889593765976264,-0.18758994755541075,0.4868795406259359,0.26263569767869577,0.8,CHEMBL5993064,NA,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,0.9538461538461539,0.9384615384615385,0.4,0.5,0,0.8015384615384616,PRIORITY_C
12,BRD-K33379087,tivantinib,14,Tier 1 — Consistent 5/5,5,5,0,0.213711431585622,0.25011851178186806,0.14092952643648457,0.4762647344152867,0.213711431585622,1,CHEMBL2103882,TIVANTINIB,3,HIGH,annotated,1,1,CHEMBL3717,Hepatocyte growth factor receptor inhibitor,INHIBITOR,0.7384615384615385,0.8,0.8153846153846154,1,1,0.8007692307692308,PRIORITY_B
13,BRD-K68191783,ALW-II-38-3,10,Tier 2 — Strong 4/5+,5,4,1,0.29872659510941135,0.14379473253663255,-0.68317635290808,0.41913746902078847,0.2389812760875291,0.8,CHEMBL3640475,NA,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,0.8923076923076924,0.8615384615384616,0.4,0.5,0,0.7515384615384617,PRIORITY_C
14,BRD-K49327517,THZ-2-98-01,12,Tier 2 — Strong 4/5+,5,4,1,0.28917564798090645,0.20655642113067005,-0.2236783976466873,0.5507389751734311,0.23134051838472516,0.8,CHEMBL4303658,NA,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,0.8615384615384616,0.8307692307692308,0.4,0.5,0,0.7284615384615386,PRIORITY_C
15,BRD-K07691486,roscovitine,17,Tier 2 — Strong 4/5+,5,4,2,0.2412372488010185,0.10937875503623,-0.5170593663393499,0.38348274965439777,0.1929897990408148,0.8,CHEMBL14762,SELICICLIB,2,REVIEW,annotated,5,5,CHEMBL301;CHEMBL3055;CHEMBL3116;CHEMBL308;CHEMBL4036,Cyclin-dependent kinase 2 inhibitor | Cyclin-dependent kinase 7 inhibitor | Cyclin-dependent kinase 9 inhibitor | Cyclin-dependent kinase 1 inhibitor | Cyclin-dependent kinase 5 inhibitor,INHIBITOR,0.7846153846153846,0.7538461538461538,0.4,0.5,1,0.7207692307692308,PRIORITY_C
16,BRD-K93918653,quizartinib,21,Tier 2 — Strong 4/5+,5,5,1,0.15511930929665405,0.1982050959541212,-0.08310820816442605,0.5013640066805835,0.15511930929665405,1,CHEMBL576982,QUIZARTINIB,4,HIGH,annotated,5,5,CHEMBL1844;CHEMBL1974;CHEMBL1936;CHEMBL2095189;CHEMBL2041,Macrophage colony stimulating factor receptor inhibitor | Tyrosine-protein kinase receptor FLT3 inhibitor | Stem cell growth factor receptor inhibitor | Platelet-derived growth factor receptor inhibitor | Tyrosine-protein kinase receptor RET inhibitor,INHIBITOR,0.5846153846153846,0.6923076923076923,0.8153846153846154,1,1,0.696923076923077,PRIORITY_B
17,BRD-K97764662,PD-173074,18,Tier 2 — Strong 4/5+,5,5,1,0.17988423509591692,0.16723412379255292,-0.1762906081127784,0.455049451336771,0.17988423509591692,1,CHEMBL189584,PD-173074,NA,HIGH,no_mechanism_record,0,0,NA,NA,NA,0.6615384615384615,0.7384615384615385,0.8153846153846154,1,0,0.6969230769230769,PRIORITY_B
18,BRD-A87137733,GSK-690693,24,Tier 3 — Moderate 3/5+,5,3,2,0.23315353117419957,0.1121669847317898,-0.4384835452215593,0.5516076289981013,0.13989211870451973,0.6,CHEMBL494089,GSK-690693,1,HIGH,annotated,3,3,CHEMBL2111353;CHEMBL2094138;CHEMBL2093867,Serine/threonine-protein kinase AKT inhibitor | cAMP-dependent protein kinase (PKA) inhibitor | Protein kinase C (PKC) inhibitor,INHIBITOR,0.7538461538461538,0.6461538461538462,0,1,1,0.6884615384615385,PRIORITY_B
19,BRD-K16189898,CHIR-99021,16,Tier 2 — Strong 4/5+,5,4,1,0.24668063112429697,0.20200228191406305,-0.08639319764752505,0.329023962888225,0.1973445048994376,0.8,CHEMBL412142,LADUVIGLUSIB,1,REVIEW,no_mechanism_record,0,0,NA,NA,NA,0.8,0.7692307692307693,0.4,0.5,0,0.6823076923076924,PRIORITY_C
20,BRD-K52721289,XMD-1527,15,Tier 1 — Consistent 5/5,5,5,0,0.20579944492316693,0.2206632863910568,0.09359300651619716,0.3943830294019987,0.20579944492316693,1,CHEMBL5303523,NA,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,0.7076923076923077,0.7846153846153846,0.8153846153846154,0.5,0,0.6815384615384616,PRIORITY_C
21,BRD-K71035033,masitinib,26,Tier 1 — Consistent 5/5,5,5,0,0.13946666630596513,0.17278545467439288,0.11412024659652918,0.36861141382912666,0.13946666630596513,1,CHEMBL1908391,MASITINIB,3,HIGH,annotated,3,3,CHEMBL2742;CHEMBL1936;CHEMBL2095189,Fibroblast growth factor receptor 3 inhibitor | Stem cell growth factor receptor inhibitor | Platelet-derived growth factor receptor inhibitor,INHIBITOR,0.5384615384615384,0.6153846153846154,0.8153846153846154,1,1,0.6546153846153846,PRIORITY_C
22,BRD-K78431006,crizotinib,27,Tier 2 — Strong 4/5+,5,5,1,0.13492042977449473,0.11106378431792004,-0.06090518646771308,0.28377631722584534,0.13492042977449473,1,CHEMBL601719,CRIZOTINIB,4,HIGH,annotated,6,6,CHEMBL3717;CHEMBL4247;CHEMBL3883330;CHEMBL2111387;CHEMBL5568;CHEMBL2689,Hepatocyte growth factor receptor inhibitor | ALK tyrosine kinase receptor inhibitor | EML4-ALK inhibitor | NPM/ALK (Nucleophosmin/ALK tyrosine kinase receptor) inhibitor | Proto-oncogene tyrosine-protein kinase ROS inhibitor | Macrophage-stimulating protein receptor inhibitor,INHIBITOR,0.5230769230769231,0.6,0.8153846153846154,1,1,0.6430769230769231,PRIORITY_C
23,BRD-K42728290,NVP-BGJ398,22,Tier 1 — Consistent 5/5,5,5,0,0.15330785929646512,0.1640520934920849,0.00498461383961999,0.4070284325640745,0.15330785929646512,1,CHEMBL1852688,INFIGRATINIB,4,REVIEW,annotated,1,1,CHEMBL2095217,Fibroblast growth factor receptor inhibitor,INHIBITOR,0.5692307692307692,0.676923076923077,0.8153846153846154,0.5,1,0.6353846153846154,PRIORITY_C
24,BRD-K86274953,XMD-132,19,Tier 2 — Strong 4/5+,5,4,1,0.20926536363049497,0.22104587971228631,-0.01463285784377475,0.5139142838977784,0.167412290904396,0.8,CHEMBL5303523,NA,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,0.7230769230769231,0.7230769230769231,0.4,0.5,0,0.6323076923076923,PRIORITY_C
25,BRD-K07667918,linsitinib,29,Tier 3 — Moderate 3/5+,5,3,2,0.197197354979618,0.15823400096692825,-0.1252240473035385,0.4977245923714533,0.1183184129877708,0.6,CHEMBL1091644,LINSITINIB,3,HIGH,annotated,2,2,CHEMBL1957;CHEMBL1981,Insulin-like growth factor I receptor inhibitor | Insulin receptor inhibitor,INHIBITOR,0.676923076923077,0.5692307692307692,0,1,1,0.6307692307692309,PRIORITY_C
26,BRD-K04801023,SAR-245408,25,Tier 2 — Strong 4/5+,5,4,1,0.1747746084279201,0.12970655123071032,-0.03971941281802112,0.22626290157230228,0.13981968674233608,0.8,CHEMBL3360203,PILARALISIB,2,REVIEW,annotated,1,1,CHEMBL3559703,PI3-kinase class I inhibitor,INHIBITOR,0.6461538461538462,0.6307692307692307,0.4,0.5,1,0.6207692307692309,PRIORITY_C
27,BRD-K04833372,GSK-1904529A,20,Tier 2 — Strong 4/5+,5,5,1,0.1620425818232706,0.15179970431985823,-0.1015484279337557,0.3488406575844655,0.1620425818232706,1,CHEMBL4303308,NA,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,0.6,0.7076923076923077,0.8153846153846154,0.5,0,0.6084615384615385,PRIORITY_C
28,BRD-K29983336,rondual-kinase-inhibitor,23,Tier 3 — Moderate 3/5+,5,3,2,0.2345101254575288,0.11459263872596416,-0.2796226676413366,0.3907727236128973,0.14070607527451728,0.6,CHEMBL4536936,NA,NA,REVIEW,no_mechanism_record,0,0,NA,NA,NA,0.7692307692307693,0.6615384615384615,0,0.5,0,0.6000000000000001,PRIORITY_C
29,BRD-K99749624,linifanib,30,Tier 2 — Strong 4/5+,5,4,1,0.13390454862473586,0.1568300471631121,-0.0782509484906955,0.4881620978637856,0.1071236388997887,0.8,CHEMBL223360,LINIFANIB,3,HIGH,annotated,4,4,CHEMBL1844;CHEMBL1974;CHEMBL2095189;CHEMBL2095227,Macrophage colony stimulating factor receptor inhibitor | Tyrosine-protein kinase receptor FLT3 inhibitor | Platelet-derived growth factor receptor inhibitor | Vascular endothelial growth factor receptor inhibitor,INHIBITOR,0.5076923076923077,0.5538461538461539,0.4,1,1,0.5823076923076923,PRIORITY_C
30,BRD-K55187425,ON-01910,28,Tier 3 — Moderate 3/5+,5,3,2,0.2020918862282824,0.15596863797568597,-0.08113528733171052,0.3846344183268796,0.12125513173696945,0.6,CHEMBL2013119,RIGOSERTIB SODIUM,3,REVIEW,no_mechanism_record,0,0,NA,NA,NA,0.6923076923076923,0.5846153846153846,0,0.5,0,0.5423076923076924,PRIORITY_C
