final_rank,pert_id,pert_iname,robust_rank,tier,cell_lines_tested,positive_cell_lines,negative_cell_lines,median_score,mean_score,min_score,max_score,reproducibility_score,positive_fraction,chembl_id,pref_name,max_phase,identity_confidence,mechanism_status_corrected,mechanism_record_count,unique_targets,target_chembl_ids,mechanisms,action_types,connectivity_score_norm,reproducibility_norm,positive_fraction_norm,identity_score,mechanism_score,final_evidence_score,final_priority,chembl_id_annotation,pref_name_annotation,max_phase_annotation,match_status,target_chembl_id,mechanism_of_action,action_type
25,BRD-K07667918,linsitinib,29,Tier 3 — Moderate 3/5+,5,3,2,0.197197354979618,0.15823400096692825,-0.1252240473035385,0.4977245923714533,0.1183184129877708,0.6,CHEMBL1091644,LINSITINIB,3,HIGH,annotated,2,2,CHEMBL1957;CHEMBL1981,Insulin-like growth factor I receptor inhibitor | Insulin receptor inhibitor,INHIBITOR,0.676923076923077,0.5692307692307692,0,1,1,0.6307692307692309,PRIORITY_C,CHEMBL1091644,LINSITINIB,3,exact_name_match,CHEMBL1957;CHEMBL1981,Insulin-like growth factor I receptor inhibitor;Insulin receptor inhibitor,INHIBITOR
26,BRD-K04801023,SAR-245408,25,Tier 2 — Strong 4/5+,5,4,1,0.1747746084279201,0.12970655123071032,-0.03971941281802112,0.22626290157230228,0.13981968674233608,0.8,CHEMBL3360203,PILARALISIB,2,REVIEW,annotated,1,1,CHEMBL3559703,PI3-kinase class I inhibitor,INHIBITOR,0.6461538461538462,0.6307692307692307,0.4,0.5,1,0.6207692307692309,PRIORITY_C,CHEMBL3360203,PILARALISIB,2,search_match_requires_review,CHEMBL3559703,PI3-kinase class I inhibitor,INHIBITOR
29,BRD-K99749624,linifanib,30,Tier 2 — Strong 4/5+,5,4,1,0.13390454862473586,0.1568300471631121,-0.0782509484906955,0.4881620978637856,0.1071236388997887,0.8,CHEMBL223360,LINIFANIB,3,HIGH,annotated,4,4,CHEMBL1844;CHEMBL1974;CHEMBL2095189;CHEMBL2095227,Macrophage colony stimulating factor receptor inhibitor | Tyrosine-protein kinase receptor FLT3 inhibitor | Platelet-derived growth factor receptor inhibitor | Vascular endothelial growth factor receptor inhibitor,INHIBITOR,0.5076923076923077,0.5538461538461539,0.4,1,1,0.5823076923076923,PRIORITY_C,CHEMBL223360,LINIFANIB,3,exact_name_match,CHEMBL1844;CHEMBL1974;CHEMBL2095189;CHEMBL2095227,Macrophage colony stimulating factor receptor inhibitor;Tyrosine-protein kinase receptor FLT3 inhibitor;Platelet-derived growth factor receptor inhibitor;Vascular endothelial growth factor receptor inhibitor,INHIBITOR
32,BRD-K19477839,SGX523,34,Tier 2 — Strong 4/5+,5,4,1,0.1276573741017118,0.13429994780697188,-0.00399906952813449,0.2558097973037562,0.10212589928136943,0.8,CHEMBL1236107,SGX-523,1,REVIEW,annotated,1,1,CHEMBL3717,Hepatocyte growth factor receptor inhibitor,INHIBITOR,0.4615384615384616,0.49230769230769234,0.4,0.5,1,0.4938461538461538,PRIORITY_C,CHEMBL1236107,SGX-523,1,search_match_requires_review,CHEMBL3717,Hepatocyte growth factor receptor inhibitor,INHIBITOR
37,BRD-K53414658,tivozanib,43,Tier 3 — Moderate 3/5+,5,3,2,0.12065486529796378,0.0492281777600642,-0.3415970810206368,0.3648998985245189,0.07239291917877827,0.6,CHEMBL1289494,TIVOZANIB,4,HIGH,annotated,1,1,CHEMBL2095227,Vascular endothelial growth factor receptor inhibitor,INHIBITOR,0.4153846153846154,0.35384615384615387,0,1,1,0.4461538461538462,PRIORITY_C,CHEMBL1289494,TIVOZANIB,4,exact_name_match,CHEMBL2095227,Vascular endothelial growth factor receptor inhibitor,INHIBITOR
38,BRD-K92428232,GSK-461364,42,Tier 2 — Strong 4/5+,5,4,1,0.09101742249842062,0.08263635370175862,-0.116761891153011,0.3114346627085606,0.0728139379987365,0.8,CHEMBL1908394,GSK-461364,1,HIGH,annotated,1,1,CHEMBL3024,Serine/threonine-protein kinase PLK1 inhibitor,INHIBITOR,0.3076923076923077,0.3692307692307693,0.4,1,1,0.43615384615384617,PRIORITY_C,CHEMBL1908394,GSK-461364,1,exact_name_match,CHEMBL3024,Serine/threonine-protein kinase PLK1 inhibitor,INHIBITOR
45,BRD-K02123250,JNJ-38877605,52,Tier 3 — Moderate 3/5+,5,3,2,0.08672939841674482,0.07927317344628426,-0.2119330014535452,0.3618378354477976,0.05203763905004689,0.6,CHEMBL2133806,JNJ-38877605,1,HIGH,annotated,1,1,CHEMBL3717,Hepatocyte growth factor receptor inhibitor,INHIBITOR,0.2923076923076923,0.2153846153846154,0,1,1,0.35000000000000003,EXPLORATORY,CHEMBL2133806,JNJ-38877605,1,exact_name_match,CHEMBL3717,Hepatocyte growth factor receptor inhibitor,INHIBITOR
47,BRD-K70511574,HMN-214,53,Tier 3 — Moderate 3/5+,5,3,2,0.0672642331415868,0.01475758824873412,-0.37246086919955,0.39572026291204127,0.04035853988495208,0.6,CHEMBL3991927,HMN-214,1,HIGH,annotated,1,1,CHEMBL3024,Serine/threonine-protein kinase PLK1 inhibitor,INHIBITOR,0.2307692307692308,0.2,0,1,1,0.31538461538461543,EXPLORATORY,CHEMBL3991927,HMN-214,1,exact_name_match,CHEMBL3024,Serine/threonine-protein kinase PLK1 inhibitor,INHIBITOR
53,BRD-A35869383,ibrutinib,56,Tier 3 — Moderate 3/5+,5,3,2,0.05138423362677108,-0.08794103435084605,-0.6337210106469389,0.22782820393682213,0.03083054017606264,0.6,CHEMBL1873475,IBRUTINIB,4,HIGH,annotated,1,1,CHEMBL5251,Tyrosine-protein kinase BTK inhibitor,INHIBITOR,0.16923076923076924,0.15384615384615383,0,1,1,0.2730769230769231,EXPLORATORY,CHEMBL1873475,IBRUTINIB,4,exact_name_match,CHEMBL5251,Tyrosine-protein kinase BTK inhibitor,INHIBITOR
56,BRD-K02113016,olaparib,58,Tier 2 — Strong 4/5+,5,4,1,0.03405585483832996,0.09571013627678764,-0.11386342124356308,0.3049140291943314,0.02724468387066396,0.8,CHEMBL521686,OLAPARIB,4,HIGH,annotated,1,1,CHEMBL3390820,"PARP 1, 2 and 3 inhibitor",INHIBITOR,0.07692307692307693,0.12307692307692308,0.4,1,1,0.25923076923076926,EXPLORATORY,CHEMBL521686,OLAPARIB,4,exact_name_match,CHEMBL3390820,"PARP 1, 2 and 3 inhibitor",INHIBITOR
57,BRD-K79404599,enzastaurin,61,Tier 3 — Moderate 3/5+,5,3,3,0.03446454871938548,0.02566420610454218,-0.21166248507270996,0.3020071286870456,0.02067872923163128,0.6,CHEMBL300138,ENZASTAURIN,3,HIGH,annotated,1,1,CHEMBL3045,Protein kinase C beta inhibitor,INHIBITOR,0.09230769230769233,0.07692307692307693,0,1,1,0.2153846153846154,EXPLORATORY,CHEMBL300138,ENZASTAURIN,3,exact_name_match,CHEMBL3045,Protein kinase C beta inhibitor,INHIBITOR
59,BRD-K75308783,SAR-245409,60,Tier 3 — Moderate 3/5+,5,3,2,0.03525318635348,0.00504244324747208,-0.1947130868842479,0.14166963556020604,0.021151911812088,0.6,CHEMBL2109635,SAR-566658,2,REVIEW,annotated,2,2,CHEMBL3580494;CHEMBL2095182,Mucin-1 binding agent | Tubulin inhibitor,BINDING AGENT;INHIBITOR,0.1076923076923077,0.09230769230769233,0,0.5,1,0.1769230769230769,EXPLORATORY,CHEMBL2109635,SAR-566658,2,search_match_requires_review,CHEMBL3580494;CHEMBL2095182,Mucin-1 binding agent;Tubulin inhibitor,BINDING AGENT;INHIBITOR
60,BRD-K64052750,gefitinib,65,Tier 3 — Moderate 3/5+,5,3,3,0.01117667465371403,0.05605281917676416,-0.2671490504299298,0.28855360402080366,0.00670600479222841,0.6,CHEMBL939,GEFITINIB,4,HIGH,annotated,1,1,CHEMBL203,Epidermal growth factor receptor erbB1 inhibitor,INHIBITOR,0.01538461538461538,0.01538461538461538,0,1,1,0.16153846153846155,EXPLORATORY,CHEMBL939,GEFITINIB,4,exact_name_match,CHEMBL203,Epidermal growth factor receptor erbB1 inhibitor,INHIBITOR
