"gene","celltype","group1","group2","comparison","logFC","logCPM","F","PValue","FDR","direction","immune_flag","luminal_flag","epithelial_flag"
"FN3K","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",2.51086001109131,3.53238214720875,17.1592212842072,0.00165729726541576,0.0479954757951114,"HER2_Positive_higher",FALSE,FALSE,FALSE
"LIMD2","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",2.50831051149969,3.99124825542017,19.1605441208604,0.00111850805391753,0.0422138057897841,"HER2_Positive_higher",FALSE,FALSE,FALSE
"AP001372.2","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",2.50509354648561,1.5396259636016,20.4730508574839,0.000852917167735881,0.0386717489759412,"HER2_Positive_higher",FALSE,FALSE,FALSE
"LBX2-AS1","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",2.4949645110379,1.7997453957816,17.5640289466459,0.00150168990809101,0.0459070339755649,"HER2_Positive_higher",FALSE,FALSE,FALSE
"UCP2","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",2.49243073959382,6.33881622304658,19.4050000959127,0.00106461671051433,0.0417671400737343,"HER2_Positive_higher",FALSE,FALSE,FALSE
"RP11-319G6.1","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",2.49186208037969,2.01078563201683,21.3170412394086,0.000745309409543142,0.0367339101812943,"HER2_Positive_higher",FALSE,FALSE,FALSE
"PRLR","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",2.46504630106874,4.88210097752983,18.0836256792277,0.00137438955059684,0.0449897291236725,"HER2_Positive_higher",FALSE,FALSE,FALSE
"CERS4","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",2.4256433492277,5.61188275787805,17.790116702353,0.0014555666932067,0.0455819046996882,"HER2_Positive_higher",FALSE,FALSE,FALSE
"AP006222.2","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-2.41706414144675,4.54076023125839,19.1808464370362,0.00109674428850236,0.0420075576308778,"Normal_higher",FALSE,FALSE,FALSE
"NFIA","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",2.41438307433811,5.61266373701843,33.2075960387555,0.000128182541329057,0.0201709900276966,"HER2_Positive_higher",FALSE,FALSE,FALSE
"MYLIP","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",2.40897592585958,4.72877126552811,17.4631909051181,0.00155533512062332,0.0461926105469972,"HER2_Positive_higher",FALSE,FALSE,FALSE
"CKLF","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-2.40303011522338,5.43022519668928,18.0033160277964,0.00139486175995967,0.0452453189244772,"Normal_higher",FALSE,FALSE,FALSE
"NOSTRIN","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",2.39977914335895,2.86394090579548,22.3872895020242,0.000626630758832687,0.0331106853610584,"HER2_Positive_higher",FALSE,FALSE,FALSE
"CD59","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-2.3996235530505,9.90610463797782,20.1479538037411,0.000927474587566448,0.039847847329623,"Normal_higher",FALSE,FALSE,FALSE
"LAMC1","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-2.38086776998651,3.25560849385105,18.3516077505181,0.00119893768821774,0.0431550528331124,"Normal_higher",FALSE,FALSE,FALSE
"EIF3J","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-2.37931126675661,7.09912108337928,19.090059416396,0.00113121751982424,0.0422138057897841,"Normal_higher",FALSE,FALSE,FALSE
"C8orf58","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-2.37923861359286,1.95519513219985,22.7259619570584,0.000417211325799024,0.029963614190183,"Normal_higher",FALSE,FALSE,FALSE
"HIST1H2BD","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-2.37914415049823,5.17522983007169,19.7152471518508,0.001003321971606,0.0406968579849252,"Normal_higher",FALSE,FALSE,FALSE
"SGCB","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-2.37234870716136,3.96858242753259,19.141706574042,0.00108191046118467,0.0418071968447722,"Normal_higher",FALSE,FALSE,FALSE
"PLEKHF1","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-2.36212026992317,4.26627061519067,17.9464322540493,0.00138437723762342,0.0451923222493036,"Normal_higher",FALSE,FALSE,FALSE
"PDXK","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-2.35124758635983,6.35333387339368,35.5723820954628,9.59374349334849e-05,0.0177378664955863,"Normal_higher",FALSE,FALSE,FALSE
"PODXL2","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",2.34613057110584,4.51242450267054,19.0712086153743,0.001136144615188,0.0422768798261268,"HER2_Positive_higher",FALSE,FALSE,FALSE
"TRIM16","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-2.33635392177515,4.94128258259193,19.1490219902082,0.00111328108867347,0.0422138057897841,"Normal_higher",FALSE,FALSE,FALSE
"VAV3","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",2.33313596126576,5.16622460891948,18.7355622485422,0.00121028171809268,0.0431898620765259,"HER2_Positive_higher",FALSE,FALSE,FALSE
"NFKBIE","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-2.32721208268262,4.35387031312152,17.8853439780385,0.00140644663374456,0.0452453189244772,"Normal_higher",FALSE,FALSE,FALSE
"KLF2","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",2.323898918799,3.85039101730337,18.8677985835356,0.00118262780479373,0.0430059542349784,"HER2_Positive_higher",FALSE,FALSE,FALSE
"ADPRM","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-2.31727308104453,2.98908035623631,27.2845231296617,0.000246405911426814,0.0247562123780432,"Normal_higher",FALSE,FALSE,FALSE
"TRIM47","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-2.31455232090784,5.54400389073024,28.9214721365352,0.000227715161961606,0.0237948503456174,"Normal_higher",FALSE,FALSE,FALSE
"DHRS4L2","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-2.31293278472783,5.03242098081121,18.8326715896462,0.00118402693673935,0.0430059542349784,"Normal_higher",FALSE,FALSE,FALSE
"BIN3","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-2.31229594021242,4.04759681266528,16.8638333810317,0.00171302547553517,0.0489580431859187,"Normal_higher",FALSE,FALSE,FALSE
"GBE1","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-2.30899837480478,4.46008253700832,24.334200291831,0.000446034579656689,0.030773892315494,"Normal_higher",FALSE,FALSE,FALSE
"AP1S3","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-2.29475869000918,3.64731497074416,17.1417649475826,0.00158813923829044,0.0467177625930439,"Normal_higher",FALSE,FALSE,FALSE
"RIC1","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",2.28828610015195,3.1539326433846,22.7845498750195,0.00058648832406345,0.0329222258042064,"HER2_Positive_higher",FALSE,FALSE,FALSE
"NBPF1","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",2.28764692518132,2.90220980690782,19.8920813044248,0.000974795018264012,0.0406968579849252,"HER2_Positive_higher",FALSE,FALSE,FALSE
"VPS13B","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",2.27328231691709,3.09382127266274,27.5695478662569,0.000277208983422197,0.0260476728955202,"HER2_Positive_higher",FALSE,FALSE,FALSE
"ENOX1","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",2.26539130360345,0.866885560765765,21.9203182611636,0.000621382267448215,0.0331106853610584,"HER2_Positive_higher",FALSE,FALSE,FALSE
"C6orf48","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-2.25860748545814,7.08093501411929,18.1904351601406,0.00134548774500828,0.0449441452912552,"Normal_higher",FALSE,FALSE,FALSE
"SREK1IP1","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-2.24736792374603,5.80833007166504,22.2161149912686,0.000644810290760524,0.0334201079667587,"Normal_higher",FALSE,FALSE,FALSE
"STEAP1","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-2.22975538248263,4.68805083383916,18.4518328910808,0.00126968362144715,0.0443404753468482,"Normal_higher",FALSE,FALSE,FALSE
"CFLAR","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-2.22772256158214,5.82249376671297,17.8357384427053,0.00144421092299827,0.0454283676219455,"Normal_higher",FALSE,FALSE,FALSE
"MAP4K2","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",2.22131720180847,2.54597718148808,18.8987168628683,0.00117104643570914,0.042843242287947,"HER2_Positive_higher",FALSE,FALSE,FALSE
"KCTD9","Luminal_Epithelial","HER2_Positive","Normal","HER2_Positive vs Normal",-2.2133097413483,4.20458351684336,19.2680851263891,0.00107309543988988,0.0417671400737343,"Normal_higher",FALSE,FALSE,FALSE
