metric,Q01,Q05,Q25,Median,Q75,Q95,Q99
nFeature_RNA,267,438,818,1339,2334,4697,6302
nCount_RNA,410,874,1922,3573,7962,26606.55,49439.44
percent.mito,0.138914033041104,1.20301687635392,3.18059432065526,5.14541944407445,8.09532590862105,14.250382826471,18.1905371450245
percent.mt.calc,0.138914033041104,1.20301687635392,3.18059432065526,5.14541944407445,8.09532590862104,14.250382826471,18.1905371450244
