"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","10/119","119/9422",0.0840336134453782,6.65348492338112,7.01921719039957,2.36135884199051e-06,0.000545473892499808,0.000203569945660286,"4314/6364/4323/6374/8837/2921/10000/330/1051/79651",10
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","7/119","93/9422",0.0752688172043011,5.9595192915876,5.43593160481156,0.000165892697396844,0.0136311700535817,0.00508712989796248,"3673/3918/3914/1647/3915/10000/330",7
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","7/119","95/9422",0.0736842105263158,5.83405572755418,5.35565926890603,0.000189521766473572,0.0136311700535817,0.00508712989796248,"4314/529/6364/6374/526/2921/51561",7
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","7/119","103/9422",0.0679611650485437,5.38092518560822,5.05603725399255,0.000312754691888278,0.0136311700535817,0.00508712989796248,"6317/3918/3914/3915/6318/2921/5269",7
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","8/119","138/9422",0.0579710144927536,4.58994032395567,4.80473764533799,0.000345883028514444,0.0136311700535817,0.00508712989796248,"5366/27113/1647/8837/1515/10000/330/1075",8
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","6/119","75/9422",0.08,6.33411764705882,5.24526666838782,0.000354056365028096,0.0136311700535817,0.00508712989796248,"5366/27113/1647/84883/2810/3486",6
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","6/119","89/9422",0.0674157303370786,5.33773959021811,4.65005745280272,0.000885473445160641,0.0292206236903011,0.0109050879585339,"3673/3918/3914/961/1292/3915",6
"Organismal Systems","Development and regeneration","hsa04382","Cornified envelope formation","9/119","217/9422",0.0414746543778802,3.28381675250745,3.84937035110175,0.00166964030056387,0.0482108636787817,0.0179922138057753,"3854/3918/3852/3914/3861/3853/6274/3868/6273",9
