"gene","logFC","FDR","PValue","marker_category"
"ERBB2",5.41878776428276,0.0283991477391347,0.000379128731391727,"HER2_signaling"
"AR",1.89943699766152,0.029963614190183,0.00042377305835509,"Hormone_Receptor"
"FOXA1",2.12876072294729,0.0315189413230928,0.000479470612561756,"Luminal_Transcriptional"
"GRB7",4.58542726310899,0.0459121001138935,0.00151644554081115,"HER2_signaling"
