"gene","pathway","direction"
"NBL1","regulation of mononuclear cell migration","DOWN"
"CD59","regulation of body fluid levels","DOWN"
"ITGA2","regulation of body fluid levels","DOWN"
"ANXA8","regulation of body fluid levels","DOWN"
"CLIC1","regulation of body fluid levels","DOWN"
"PROCR","regulation of body fluid levels","DOWN"
"VKORC1","regulation of body fluid levels","DOWN"
"ANGPTL4","regulation of body fluid levels","DOWN"
"SAA1","regulation of body fluid levels","DOWN"
"LYN","regulation of body fluid levels","DOWN"
"PLAUR","regulation of body fluid levels","DOWN"
"CAV1","regulation of body fluid levels","DOWN"
"VNN1","regulation of hemopoiesis","DOWN"
"PRDM1","regulation of hemopoiesis","DOWN"
"SFRP1","regulation of hemopoiesis","DOWN"
"PRELID1","regulation of hemopoiesis","DOWN"
"KISS1","regulation of hemopoiesis","DOWN"
"MMP14","regulation of hemopoiesis","DOWN"
"INHBA","regulation of hemopoiesis","DOWN"
"ZBTB16","regulation of hemopoiesis","DOWN"
"TNFAIP6","regulation of hemopoiesis","DOWN"
"LYN","regulation of hemopoiesis","DOWN"
"CEBPB","regulation of hemopoiesis","DOWN"
"IL23A","regulation of hemopoiesis","DOWN"
"ANXA3","positive regulation of angiogenesis","DOWN"
"ADAM12","positive regulation of angiogenesis","DOWN"
"FGF2","positive regulation of angiogenesis","DOWN"
"HMGA2","positive regulation of angiogenesis","DOWN"
"MYDGF","positive regulation of angiogenesis","DOWN"
"ANGPTL4","positive regulation of angiogenesis","DOWN"
"AKT3","positive regulation of angiogenesis","DOWN"
"CHI3L1","positive regulation of angiogenesis","DOWN"
"KISS1","gonadotropin secretion","DOWN"
"INHBA","gonadotropin secretion","DOWN"
"GJA1","gonadotropin secretion","DOWN"
"PI3","antimicrobial humoral response","DOWN"
"PRSS3","antimicrobial humoral response","DOWN"
"DEFB1","antimicrobial humoral response","DOWN"
"CCL20","antimicrobial humoral response","DOWN"
"CXCL5","antimicrobial humoral response","DOWN"
"CXCL3","antimicrobial humoral response","DOWN"
"KRT6A","antimicrobial humoral response","DOWN"
"RNASE7","antimicrobial humoral response","DOWN"
"ANXA3","positive regulation of vasculature development","DOWN"
"ADAM12","positive regulation of vasculature development","DOWN"
"FGF2","positive regulation of vasculature development","DOWN"
"HMGA2","positive regulation of vasculature development","DOWN"
"MYDGF","positive regulation of vasculature development","DOWN"
"ANGPTL4","positive regulation of vasculature development","DOWN"
"AKT3","positive regulation of vasculature development","DOWN"
"CHI3L1","positive regulation of vasculature development","DOWN"
"ITGA2","collagen metabolic process","DOWN"
"MMP3","collagen metabolic process","DOWN"
"MMP12","collagen metabolic process","DOWN"
"MMP14","collagen metabolic process","DOWN"
"INHBA","collagen metabolic process","DOWN"
"SERPINB7","collagen metabolic process","DOWN"
"PMAIP1","regulation of release of cytochrome c from mitochondria","DOWN"
"BBC3","regulation of release of cytochrome c from mitochondria","DOWN"
"PRELID1","regulation of release of cytochrome c from mitochondria","DOWN"
"PLAUR","regulation of release of cytochrome c from mitochondria","DOWN"
"VNN1","regulation of lymphocyte differentiation","DOWN"
"PRDM1","regulation of lymphocyte differentiation","DOWN"
"SFRP1","regulation of lymphocyte differentiation","DOWN"
"PRELID1","regulation of lymphocyte differentiation","DOWN"
"MMP14","regulation of lymphocyte differentiation","DOWN"
"INHBA","regulation of lymphocyte differentiation","DOWN"
"ZBTB16","regulation of lymphocyte differentiation","DOWN"
"IL23A","regulation of lymphocyte differentiation","DOWN"
"KISS1","regulation of myeloid leukocyte differentiation","DOWN"
"INHBA","regulation of myeloid leukocyte differentiation","DOWN"
"TNFAIP6","regulation of myeloid leukocyte differentiation","DOWN"
"LYN","regulation of myeloid leukocyte differentiation","DOWN"
"CEBPB","regulation of myeloid leukocyte differentiation","DOWN"
"IL23A","regulation of myeloid leukocyte differentiation","DOWN"
"ITGA2","response to mechanical stimulus","DOWN"
"USP53","response to mechanical stimulus","DOWN"
"KRT5","response to mechanical stimulus","DOWN"
"MMP14","response to mechanical stimulus","DOWN"
"FGF2","response to mechanical stimulus","DOWN"
"GADD45A","response to mechanical stimulus","DOWN"
"CHI3L1","response to mechanical stimulus","DOWN"
"TXNIP","response to mechanical stimulus","DOWN"
"CD59","humoral immune response","DOWN"
"PI3","humoral immune response","DOWN"
"C1R","humoral immune response","DOWN"
"PRSS3","humoral immune response","DOWN"
"DEFB1","humoral immune response","DOWN"
"CCL20","humoral immune response","DOWN"
"CXCL5","humoral immune response","DOWN"
"CXCL3","humoral immune response","DOWN"
"KRT6A","humoral immune response","DOWN"
"RNASE7","humoral immune response","DOWN"
"PMAIP1","cellular response to hypoxia","DOWN"
"BBC3","cellular response to hypoxia","DOWN"
"SFRP1","cellular response to hypoxia","DOWN"
"S100B","cellular response to hypoxia","DOWN"
"ERO1A","cellular response to hypoxia","DOWN"
"INHBA","cellular response to hypoxia","DOWN"
"CFLAR","cellular response to hypoxia","DOWN"
"KRT6B","intermediate filament organization","DOWN"
"KRT5","intermediate filament organization","DOWN"
"KRT14","intermediate filament organization","DOWN"
"KRT6A","intermediate filament organization","DOWN"
"KRT16","intermediate filament organization","DOWN"
"ANXA3","regulation of angiogenesis","DOWN"
"SFRP1","regulation of angiogenesis","DOWN"
"ADAM12","regulation of angiogenesis","DOWN"
"FGF2","regulation of angiogenesis","DOWN"
"GADD45A","regulation of angiogenesis","DOWN"
"HMGA2","regulation of angiogenesis","DOWN"
"MYDGF","regulation of angiogenesis","DOWN"
"ANGPTL4","regulation of angiogenesis","DOWN"
"ADAMTS9","regulation of angiogenesis","DOWN"
"AKT3","regulation of angiogenesis","DOWN"
"CHI3L1","regulation of angiogenesis","DOWN"
"ITGA2","tissue morphogenesis","DOWN"
"MMP12","tissue morphogenesis","DOWN"
"MTHFD1L","tissue morphogenesis","DOWN"
"MSN","tissue morphogenesis","DOWN"
"FGF2","tissue morphogenesis","DOWN"
"HMGA2","tissue morphogenesis","DOWN"
"GJA1","tissue morphogenesis","DOWN"
"KRT14","tissue morphogenesis","DOWN"
"KRT6A","tissue morphogenesis","DOWN"
"KRT16","tissue morphogenesis","DOWN"
"SOX10","tissue morphogenesis","DOWN"
"RHBDF2","tissue morphogenesis","DOWN"
"CXCL5","granulocyte chemotaxis","DOWN"
"TNFAIP6","granulocyte chemotaxis","DOWN"
"CKLF","granulocyte chemotaxis","DOWN"
"CXCL3","granulocyte chemotaxis","DOWN"
"SAA1","granulocyte chemotaxis","DOWN"
"IL23A","granulocyte chemotaxis","DOWN"
"LAMB3","endodermal cell differentiation","DOWN"
"MMP14","endodermal cell differentiation","DOWN"
"INHBA","endodermal cell differentiation","DOWN"
"HMGA2","endodermal cell differentiation","DOWN"
"MMP3","response to lipopolysaccharide","DOWN"
"CD68","response to lipopolysaccharide","DOWN"
"TNIP3","response to lipopolysaccharide","DOWN"
"CXCL5","response to lipopolysaccharide","DOWN"
"CYP1A1","response to lipopolysaccharide","DOWN"
"SOD2","response to lipopolysaccharide","DOWN"
"IL24","response to lipopolysaccharide","DOWN"
"AKAP12","response to lipopolysaccharide","DOWN"
"LYN","response to lipopolysaccharide","DOWN"
"CEBPB","response to lipopolysaccharide","DOWN"
"MMP12","negative regulation of response to external stimulus","DOWN"
"FGF2","negative regulation of response to external stimulus","DOWN"
"SERPINB4","negative regulation of response to external stimulus","DOWN"
"TNFAIP6","negative regulation of response to external stimulus","DOWN"
"SFN","negative regulation of response to external stimulus","DOWN"
"FNDC4","negative regulation of response to external stimulus","DOWN"
"MICA","negative regulation of response to external stimulus","DOWN"
"SAA1","negative regulation of response to external stimulus","DOWN"
"LYN","negative regulation of response to external stimulus","DOWN"
"PLAUR","negative regulation of response to external stimulus","DOWN"
"NBL1","negative regulation of response to external stimulus","DOWN"
"RHBDF2","negative regulation of response to external stimulus","DOWN"
"MMP3","reactive oxygen species metabolic process","DOWN"
"PMAIP1","reactive oxygen species metabolic process","DOWN"
"AKR1C3","reactive oxygen species metabolic process","DOWN"
"GPX3","reactive oxygen species metabolic process","DOWN"
"AKR1C1","reactive oxygen species metabolic process","DOWN"
"GADD45A","reactive oxygen species metabolic process","DOWN"
"SOD2","reactive oxygen species metabolic process","DOWN"
"CFLAR","reactive oxygen species metabolic process","DOWN"
"PMAIP1","cellular response to decreased oxygen levels","DOWN"
"BBC3","cellular response to decreased oxygen levels","DOWN"
"SFRP1","cellular response to decreased oxygen levels","DOWN"
"S100B","cellular response to decreased oxygen levels","DOWN"
"ERO1A","cellular response to decreased oxygen levels","DOWN"
"INHBA","cellular response to decreased oxygen levels","DOWN"
"CFLAR","cellular response to decreased oxygen levels","DOWN"
"ANXA3","regulation of vasculature development","DOWN"
"SFRP1","regulation of vasculature development","DOWN"
"ADAM12","regulation of vasculature development","DOWN"
"FGF2","regulation of vasculature development","DOWN"
"GADD45A","regulation of vasculature development","DOWN"
"HMGA2","regulation of vasculature development","DOWN"
"MYDGF","regulation of vasculature development","DOWN"
"ANGPTL4","regulation of vasculature development","DOWN"
"ADAMTS9","regulation of vasculature development","DOWN"
"AKT3","regulation of vasculature development","DOWN"
"CHI3L1","regulation of vasculature development","DOWN"
"PI3","keratinization","DOWN"
"KRT6B","keratinization","DOWN"
"KRT5","keratinization","DOWN"
"KRT6A","keratinization","DOWN"
"KRT16","keratinization","DOWN"
"CD63","negative regulation of cell migration","DOWN"
"SFRP1","negative regulation of cell migration","DOWN"
"FGF2","negative regulation of cell migration","DOWN"
"GADD45A","negative regulation of cell migration","DOWN"
"TNFAIP6","negative regulation of cell migration","DOWN"
"GJA1","negative regulation of cell migration","DOWN"
"IL24","negative regulation of cell migration","DOWN"
"ADAMTS9","negative regulation of cell migration","DOWN"
"IGFBP3","negative regulation of cell migration","DOWN"
"KRT16","negative regulation of cell migration","DOWN"
"NBL1","negative regulation of cell migration","DOWN"
"KISS1","negative regulation of myeloid leukocyte differentiation","DOWN"
"INHBA","negative regulation of myeloid leukocyte differentiation","DOWN"
"TNFAIP6","negative regulation of myeloid leukocyte differentiation","DOWN"
"LYN","negative regulation of myeloid leukocyte differentiation","DOWN"
"CCL20","cell chemotaxis","DOWN"
"FGF2","cell chemotaxis","DOWN"
"CXCL5","cell chemotaxis","DOWN"
"TNFAIP6","cell chemotaxis","DOWN"
"CKLF","cell chemotaxis","DOWN"
"CXCL3","cell chemotaxis","DOWN"
"SAA1","cell chemotaxis","DOWN"
"LYN","cell chemotaxis","DOWN"
"NBL1","cell chemotaxis","DOWN"
"IL23A","cell chemotaxis","DOWN"
"SFRP1","negative regulation of phosphorylation","DOWN"
"INHBA","negative regulation of phosphorylation","DOWN"
"GADD45A","negative regulation of phosphorylation","DOWN"
"SFN","negative regulation of phosphorylation","DOWN"
"LYN","negative regulation of phosphorylation","DOWN"
"IGFBP3","negative regulation of phosphorylation","DOWN"
"KISS1","negative regulation of myeloid cell differentiation","DOWN"
"INHBA","negative regulation of myeloid cell differentiation","DOWN"
"ZBTB16","negative regulation of myeloid cell differentiation","DOWN"
"TNFAIP6","negative regulation of myeloid cell differentiation","DOWN"
"LYN","negative regulation of myeloid cell differentiation","DOWN"
"MMP12","morphogenesis of an epithelium","DOWN"
"MTHFD1L","morphogenesis of an epithelium","DOWN"
"MSN","morphogenesis of an epithelium","DOWN"
"FGF2","morphogenesis of an epithelium","DOWN"
"GJA1","morphogenesis of an epithelium","DOWN"
"KRT14","morphogenesis of an epithelium","DOWN"
"KRT6A","morphogenesis of an epithelium","DOWN"
"KRT16","morphogenesis of an epithelium","DOWN"
"SOX10","morphogenesis of an epithelium","DOWN"
"RHBDF2","morphogenesis of an epithelium","DOWN"
"LOX","response to steroid hormone","DOWN"
"AKR1C3","response to steroid hormone","DOWN"
"SFRP1","response to steroid hormone","DOWN"
"S100B","response to steroid hormone","DOWN"
"INHBA","response to steroid hormone","DOWN"
"HMGA2","response to steroid hormone","DOWN"
"CFLAR","response to steroid hormone","DOWN"
"TXNIP","response to steroid hormone","DOWN"
"SOX10","response to steroid hormone","DOWN"
"CAV1","response to steroid hormone","DOWN"
"PMAIP1","positive regulation of release of cytochrome c from mitochondria","DOWN"
"BBC3","positive regulation of release of cytochrome c from mitochondria","DOWN"
"PLAUR","positive regulation of release of cytochrome c from mitochondria","DOWN"
"MMP3","response to molecule of bacterial origin","DOWN"
"CD68","response to molecule of bacterial origin","DOWN"
"TNIP3","response to molecule of bacterial origin","DOWN"
"CXCL5","response to molecule of bacterial origin","DOWN"
"CYP1A1","response to molecule of bacterial origin","DOWN"
"SOD2","response to molecule of bacterial origin","DOWN"
"IL24","response to molecule of bacterial origin","DOWN"
"AKAP12","response to molecule of bacterial origin","DOWN"
"LYN","response to molecule of bacterial origin","DOWN"
"CEBPB","response to molecule of bacterial origin","DOWN"
